@@365236	##	fo
Folks	folk	nn2
who	who	pnqs
are	be	vbr
naturally	naturally	rr
early	early	jj
risers	riser	nn2
have	have	vh0
an	an	at1
advantage	advantage	nn1
at	at	ii
work	work	nn1
and	and	cc
school	school	nn1
because	because	cs
their	their	appge
circadian	circadian	jj_nn1
rhythms	rhythm	nn2
make	make	vv0
it	it	pph1
easier	easy	jjr_rrr
for	for	if
them	them	ppho2
to	to	to
arrive	arrive	vvi
promptly	promptly	rr
and	and	cc
calmly	calmly	rr
,	,	y
says	say	vvz
a	a	at1
study	study	nn1
from	from	ii
the	the	at
University	university	nn1
of	of	io
Pittsburgh	pittsburgh	np1
.	.	y
Biologically	biologically	rr
,	,	y
night	night	nnt1
owls	owl	nn2
find	find	vv0
it	it	pph1
tough	tough	jj
to	to	to
wake	wake	vvi
up	up	rp
on	on	ii
time	time	nnt1
,	,	y
and	and	cc
their	their	appge
hectic	hectic	jj
mornings	morning	nnt2
can	can	vm
throw	throw	vvi
off	off	ii_rp
the	the	at
rest	rest	nn1
of	of	io
the	the	at
day	day	nnt1
.	.	y
Night	night	nnt1
owls	owl	nn2
who	who	pnqs
want	want	vv0
to	to	to
adjust	adjust	vvi
their	their	appge
body	body	nn1
clock	clock	nn1
may	may	vm
be	be	vbi
able	able	jk
to	to	to
do	do	vdi
so	so	rr
by	by	ii
maximizing	maximize	vvg
exposure	exposure	nn1
to	to	ii
morning	morning	nnt1
sunlight	sunlight	nn1
,	,	y
wearing	wear	vvg
dark	dark	jj_nn1
glasses	glass	nn2
in	in	ii
the	the	at
hours	hour	nnt2
before	before	ii_cs
dusk	dusk	nnt1
and	and	cc
gradually	gradually	rr
shifting	shift	vvg_jj
to	to	ii
an	an	at1
earlier	early	jjr
bedtime	bedtime	nnt1
.	.	y
