@@375988	##	fo
93,000	93,000	mc
Number	number	nn1
of	of	io
U.S.	u.s.-	np1
jobs	job	nn2
lost	lose	vvn_vvd
in	in	ii
August	august	npm1
,	,	y
the	the	at
highest	high	jjt
monthly	monthly	jj
total	total	nn1_jj
since	since	ii@_cs
March	march	npm1_np1@
<P>	<p>	null	
80,000	80,000	mc
Average	average	jj
number	number	nn1
of	of	io
jobs	job	nn2
lost	lose	vvd_vvn
each	each	dd1
month	month	nnt1
since	since	cs_ii@
the	the	at
start	start	nn1
of	of	io
the	the	at
Bush	bush	np1_nn1@
presidency	presidency	nn1
<P>	<p>	null	
140,000	140,000	mc
Estimated	estimate	jj@_vvd
number	number	nn1
of	of	io
U.S.	u.s.-	np1
troops	troop	nn2
in	in	ii
Iraq	iraq	np1
<P>	<p>	null	
40,000	40,000	mc
to	to	ii
65,000	65,000	mc
Maximum	maximum	jj
number	number	nn1
of	of	io
active-duty	active-duty	jj_nn1
troops	troop	nn2_vvz%
the	the	at
U.S.	u.s.-	np1
can	can	vm
sustain	sustain	vvi
in	in	ii
Iraq	iraq	np1
after	after	ii_cs
next	next	md
March	march	npm1
,	,	y
if	if	cs
the	the	at
Pentagon	pentagon	np1_nn1@
sticks	stick	vvz_nn2
to	to	ii
its	its	appge
one-year	one-year	jj
rotation	rotation	nn1
plan	plan	nn1
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
Congressional	congressional	jj
Budget	budget	nn1
Office	office	nn1
report	report	nn1
<P>	<p>	null	
70%	70%	nnu
Percentage	percentage	nn1
of	of	io
their	their	appge
prescribed	prescribe	jj
medicine	medicine	nn1
taken	take	vvn
by	by	ii
AIDS	aids	nn1
patients	patient	nn2
in	in	ii
the	the	at
U.S.	u.s.-	np1
<P>	<p>	null	
90%	90%	nnu
Percentage	percentage	nn1
of	of	io
their	their	appge
prescribed	prescribe	jj
medicine	medicine	nn1
taken	take	vvn
by	by	ii
AIDS	aids	nn1
patients	patient	nn2
in	in	ii
Africa	africa	np1
<P>	<p>	null	
10	10	mc
Amount	amount	nn1
of	of	io
a	a	at1
proposed	propose	jj
tax	tax	nn1
on	on	ii
espresso	espresso	nn1
drinks	drink	nn2_vvz@
in	in	ii
Seattle	seattle	np1
,	,	y
which	which	ddq
would	would	vm
support	support	vvi
preschool	preschool	jj
programs	program	nn2
for	for	if
poor	poor	jj
children	child	nn2
<P>	<p>	null	
80	80	mc
Number	number	nn1
of	of	io
Starbucks	starbucks	np1_nn2
stores	store	nn2
in	in	ii
Seattle	seattle	np1
that	that	cst_dd1
would	would	vm
be	be	vbi
affected	affect	vvn
by	by	ii
the	the	at
new	new	jj
tax	tax	nn1
<P>	<p>	null	
Sources	source	nn2
:	:	y
New	new	np1
York	york	np1
Times	time	nnt2
;	;	y
Washington	washington	np1
Post	post	nn1
;	;	y
New	new	np1
York	york	np1
Times	time	nnt2
(	(	y
2	2	mc
)	)	y
