@@365040	##	fo
The	the	at
link	link	nn1
between	between	ii
PSA	psa	np1
blood-test	blood-test	jj_nn1
results	result	nn2
and	and	cc
prostate	prostate	nn1
cancer	cancer	nn1
has	have	vhz
seen	see	vvn
its	its	appge
share	share	nn1
of	of	io
controversy	controversy	nn1
;	;	y
one	one	mc1
recent	recent	jj
study	study	nn1
found	find	vvd_vvn
that	that	cst
some	some	dd
men	man	nn2
developed	develop	vvd_vvn
the	the	at
cancer	cancer	nn1
even	even	cs21
when	when	cs22
their	their	appge
PSA	psa	np1
readings	reading	nn2
were	be	vbdr
normal	normal	jj
.	.	y
A	a	at1_zz1
new	new	jj
study	study	nn1
suggests	suggest	vvz
that	that	cst
it	it	pph1
is	be	vbz
the	the	at
rate	rate	nn1
of	of	io
increase	increase	nn1
in	in	ii
a	a	at1
man	man	nn1
's	's	ge_vbz
PSA	psa	np1
level	level	nn1_jj
,	,	y
not	not	xx
the	the	at
level	level	nn1
itself	itself	ppx1
,	,	y
that	that	dd1_cst
determines	determine	vvz
the	the	at
risk	risk	nn1
of	of	io
death	death	nn1
from	from	ii
the	the	at
disease	disease	nn1
.	.	y
The	the	at
study	study	nn1
found	find	vvd_vvn
that	that	cst_dd1
among	among	ii
1,100	1,100	mc
men	man	nn2
with	with	iw
prostate	prostate	nn1
cancer	cancer	nn1
,	,	y
those	those	dd2
whose	whose	ddqge
PSA	psa	np1
levels	level	nn2
rose	rise	vvd
more	more	dar
than	than	csn
2	2	mc
points	point	nn2_vvz
in	in	ii
the	the	at
year	year	nnt1
before	before	ii_cs
diagnosis	diagnosis	nn1
were	be	vbdr
nearly	nearly	rr
10	10	mc
times	time	nnt2
as	as	rg
likely	likely	jj
to	to	to
die	die	vvi
.	.	y
