@@370192	##	fo
Summer	summer	nnt1
is	be	vbz
the	the	at
best	best	jjt_rrt
of	of	io
times	time	nnt2
and	and	cc
the	the	at
worst	bad	jjt
of	of	io
times	time	nnt2
to	to	to
visit	visit	vvi
colleges	college	nn2
.	.	y
That	that	dd1
's	be	vbz
when	when	rrq
the	the	at
family	family	nn1
is	be	vbz
free	free	jj
to	to	to
go	go	vvi
and	and	cc
size	size	vvi
them	them	ppho2
up	up	rp
,	,	y
but	but	ccb
it	it	pph1
's	be	vbz
also	also	rr
when	when	cs_rrq
few	few	da2
students	student	nn2
are	be	vbr
on	on	ii
campus	campus	nn1
to	to	to
give	give	vvi
a	a	at1
sense	sense	nn1
of	of	io
what	what	ddq
the	the	at
place	place	nn1
is	be	vbz
really	really	rr
like	like	vv0@_jj@_ii
.	.	y
Some	some	dd
schools	school	nn2
take	take	vv0
advantage	advantage	nn1
of	of	io
the	the	at
student	student	nn1
exodus	exodus	nn1
,	,	y
however	however	rr
,	,	y
by	by	ii
transforming	transform	vvg
themselves	themselves	ppx2
into	into	ii
world-class	world-class	jj
cultural	cultural	jj
centers	center	nn2
for	for	if
a	a	at1
few	few	da2
days	day	nnt2
or	or	cc
for	for	if
the	the	at
whole	whole	jj
summer	summer	nnt1
,	,	y
with	with	iw
events	event	nn2
that	that	cst_dd1
range	range	nn1_vv0@
from	from	ii
lecture	lecture	nn1
series	series	nn
to	to	ii
local-history	local-history	jj_nn1
celebrations	celebration	nn2
and	and	cc
performing-arts	performing-arts	nn2
extravaganzas	extravaganza	nn2
.	.	y
Some	some	dd
annual	annual	jj
festivals	festival	nn2
,	,	y
like	like	ii
the	the	at
Williamstown	williamstown	np1_nn1@
Theatre	theatre	nn1
Festival	festival	nn1
at	at	ii
Williams	williams	np1
College	college	nn1
,	,	y
have	have	vh0
become	become	vvn@
renowned	renowned	jj
,	,	y
while	while	cs
others	other	nn2
flourish	flourish	vv0
as	as	rg@_csa
treasured	treasured	jj_vvn
local	local	jj
secrets	secret	nn2
.	.	y
A	a	at1
few	few	da2
phone	phone	nn1
calls	call	nn2
can	can	vm
transform	transform	vvi
the	the	at
brick-and-mortar	brick-and-mortar	jj_nn1
blur	blur	nn1
of	of	io
a	a	at1
college	college	nn1
tour	tour	nn1
into	into	ii
a	a	at1
cultural	cultural	jj
education	education	nn1
for	for	if
the	the	at
whole	whole	jj
family	family	nn1
.	.	y
A	a	at1
sampling	sampling	nn1
:	:	y
