@@377302	##	fo
Sexual	sexual	jj
impotence	impotence	nn1
is	be	vbz
often	often	rr
the	the	at
first	first	md
sign	sign	nn1
of	of	io
serious	serious	jj
cardiovascular	cardiovascular	jj
disease	disease	nn1
A	a	zz1
diet	diet	vv0@_nn1
rich	rich	jj
in	in	ii
kelp	kelp	nn1
may	may	vm
decrease	decrease	vvi
a	a	at1
woman	woman	nn1
's	's	ge
risk	risk	nn1
of	of	io
breast	breast	nn1
cancer	cancer	nn1
The	the	at
net	net	jj_nn1
worth	worth	nn1@
of	of	io
nonsmokers	nonsmokers	nn2
is	be	vbz
roughly	roughly	rr
50%	50%	nnu
higher	high	jjr
than	than	csn
that	that	dd1
of	of	io
light	light	jj_nn1
smokers	smoker	nn2
and	and	cc
twice	twice	rr
that	that	dd1
of	of	io
heavy	heavy	jj
smokers	smoker	nn2
Sunlight	sunlight	nn1
may	may	vm
have	have	vhi
a	a	at1
beneficial	beneficial	jj
effect	effect	nn1
on	on	ii
some	some	dd
types	type	nn2
of	of	io
cancer	cancer	nn1
,	,	y
including	include	vvg@_ii
,	,	y
surprisingly	surprisingly	rr
,	,	y
a	a	at1
deadly	deadly	jj
skin	skin	nn1
cancer	cancer	nn1
it	it	pph1
helps	help	vvz
to	to	to
cause	cause	vvi
<P>	<p>	null	
SOURCES	source	nn2
:	:	y
JOURNAL	journal	nn1
OF	of	io
SEXUAL	sexual	jj
MEDICINE	medicine	nn1
;	;	y
JOURNAL	journal	nn1
OF	of	io
NUTRITION	nutrition	nn1
;	;	y
TOBACCO	tobacco	nn1
CONTROL	control	nn1_vv0
;	;	y
JOURNAL	journal	nn1
OF	of	io
THE	the	at
NATIONAL	national	jj
CANCER	cancer	nn1
INSTITUTE	institute	nn1
