@@367998	##	fo
This	this	dd1
remastered	remastered	jj@_vvd
edition	edition	nn1
of	of	io
a	a	at1
1955	1955	mc
recording	recording	jj@_nn1_vvg
session	session	nnt1
captures	capture	vvz
the	the	at
great	great	jj
Armstrong	armstrong	np1
at	at	ii
his	his	appge
mature	mature	jj
best	best	jjt
;	;	y
his	his	appge
trumpet	trumpet	nn1
virtuosity	virtuosity	nn1
and	and	cc
singing	singing	nn1@_vvg
were	be	vbdr
never	never	rr
more	more	rgr
supple	supple	jj
or	or	cc
expressive	expressive	jj
.	.	y
Along	along	ii21
with	with	ii22
the	the	at
nine	nine	mc
Fats	fat	nn2
Waller	waller	np1
gems	gem	nn2
from	from	ii
the	the	at
original	original	jj
LP	lp	nn1
,	,	y
the	the	at
CD	cd	nn1
offers	offer	nn2_vvz@
four	four	mc
alternate	alternate	jj_nn1@
takes	take	vvz_nn2%
from	from	ii
that	that	dd1
session	session	nnt1
and	and	cc
seven	seven	mc
tracks	track	nn2
of	of	io
Armstrong	armstrong	np1
's	's	ge_vbz
older	old	jjr
Waller	waller	np1
recordings	recording	nn2
.	.	y
Satch	satch	vv0_nn1_np1@	
dazzles	dazzle	nn2_vvz
with	with	iw
familiar	familiar	jj
songs	song	nn2
like	like	ii
Honeysuckle	honeysuckle	np1
Rose	rose	np1_vvd_nn1
and	and	cc
Ai	ai	fu
n't	n't	xx
Misbehavin	misbehavin	np1
'	'	ge
,	,	y
but	but	ccb
his	his	appge
playing	play	vvg_nn1%_jj%
and	and	cc
singing	singing	nn1@_vvg
of	of	io
the	the	at
lesser-known	lesser-known	jj_nn1
lament	lament	nn1_vv0
Blue	blue	nn1@_jj
Turning	turn	vvg_nn1@
Grey	grey	np1_jj@
Over	over	ii
You	you	ppy
are	be	vbr
staggering	stagger	vvg_jj
and	and	cc
unforgettable	unforgettable	jj
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Elliot	elliot	np1
Ravetz	ravetz	np1	
