@@363583	##	fo
Lasik	lasik	nn1_np1
eye	eye	nn1
surgery	surgery	nn1
,	,	y
today	today	rt
performed	perform	vvd_vvn
almost	almost	rr
exclusively	exclusively	rr
on	on	ii
adults	adult	nn2
,	,	y
can	can	vm
help	help	vvi
children	child	nn2
with	with	iw
amblyopia	amblyopia	nn1	
,	,	y
or	or	cc
lazy	lazy	jj
eye	eye	nn1
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
small	small	jj
study	study	nn1
in	in	ii
the	the	at
British	british	jj
Journal	journal	nn1
of	of	io
Ophthalmology	ophthalmology	nn1_np1	
.	.	y
All	all	db
six	six	mc
children	child	nn2
in	in	ii
the	the	at
study	study	nn1
were	be	vbdr
very	very	rg
nearsighted	nearsighted	jj
,	,	y
but	but	ccb
five	five	mc
also	also	rr
suffered	suffer	vvn_vvd
from	from	ii
amblyopia	amblyopia	nn1	
that	that	cst_dd1
did	do	vdd
n't	n't	xx
respond	respond	vvi
to	to	ii
such	such	da
standard	standard	jj_nn1
treatments	treatment	nn2
as	as	csa
glasses	glass	nn2
or	or	cc
patches	patch	nn2
.	.	y
Two	two	mc
years	year	nnt2
after	after	ii_cs
surgery	surgery	nn1
and	and	cc
postoperative	postoperative	jj
patching	patch	nn1@_jj@
,	,	y
the	the	at
vision	vision	nn1
of	of	io
the	the	at
five	five	mc
kids	kid	nn2
had	have	vhd
vastly	vastly	rr
improved	improve	vvn
.	.	y
