@@365335	##	fo
The	the	at
Food	food	nn1
and	and	cc
Drug	drug	nn1
Administration	administration	nn1
announced	announce	vvd_vvn
last	last	md
week	week	nnt1
that	that	cst
a	a	at1
new	new	jj
analysis	analysis	nn1
of	of	io
clinical	clinical	jj
data	data	nn
backs	back	vvz
the	the	at
idea	idea	nn1
that	that	cst
some	some	dd
antidepressant	antidepressant	jj_nn1
drugs	drug	nn2
increase	increase	vv0
the	the	at
risk	risk	nn1
of	of	io
suicide	suicide	nn1
in	in	ii
teens	teen	nn2
.	.	y
Debate	debate	nn1_vv0@
over	over	ii_rp
the	the	at
issue	issue	nn1
,	,	y
which	which	ddq
has	have	vhz
been	be	vbn
simmering	simmering	jj_vvg%
for	for	if
more	more	dar
than	than	csn
a	a	at1
year	year	nnt1
,	,	y
is	be	vbz
complicated	complicate	vvn
by	by	ii
the	the	at
fact	fact	nn1
that	that	cst_dd1
depression	depression	nn1
alone	alone	rr
makes	make	vvz
suicide	suicide	nn1
more	more	rgr
likely	likely	jj
and	and	cc
that	that	cst
the	the	at
risks	risk	nn2
vary	vary	vv0
widely	widely	rr
among	among	ii
different	different	jj
drugs	drug	nn2
.	.	y
(	(	y
Prozac	prozac	nn1_np1@_jj
,	,	y
for	for	rex21
example	example	rex22
,	,	y
seems	seem	vvz
to	to	to
cause	cause	vvi
fewer	fewer	dar
problems	problem	nn2
than	than	csn
other	other	jj
drugs	drug	nn2
.	.	y
)	)	y
A	a	at1
decision	decision	nn1
by	by	ii
the	the	at
FDA	fda	nn1_np1
on	on	ii
new	new	jj
warning	warning	nn1
labels	label	nn2
will	will	vm
probably	probably	rr
come	come	vvi
in	in	ii
September	september	npm1
.	.	y
Meanwhile	meanwhile	rr
,	,	y
a	a	at1
study	study	nn1
of	of	io
400	400	mc
youths	youth	nn2
,	,	y
in	in	ii
the	the	at
Journal	journal	nn1
of	of	io
the	the	at
American	american	jj
Medical	medical	jj
Association	association	nn1
,	,	y
concluded	conclude	vvd_vvn
that	that	cst
Prozac	prozac	np1
works	work	vvz
best	best	rrt
when	when	cs
combined	combine	vvn
with	with	iw
cognitive-behavior	cognitive-behavior	jj	
therapy	therapy	nn1
.	.	y
