@@369592	##	fo
The	the	at
memoirs	memoir	nn2
of	of	io
diplomats	diplomat	nn2
can	can	vm
tend	tend	vvi
toward	toward	ii
the	the	at
turgid	turgid	jj
,	,	y
but	but	ccb
Christopher	christopher	np1
has	have	vhz
managed	manage	vvn
to	to	to
be	be	vbi
colorful	colorful	jj
and	and	cc
concise	concise	jj
as	as	csa
he	he	pphs1
trots	trot	vvz
through	through	ii
the	the	at
tales	tale	nn2
of	of	io
40	40	mc
years	year	nnt2
in	in	ii
public	public	jj
service	service	nn1
ranging	range	vvg
from	from	ii
Deputy	deputy	nn1
Attorney	attorney	nn1
General	general	jj
under	under	ii
Lyndon	lyndon	np1
Johnson	johnson	np1
to	to	ii
Secretary	secretary	nn1
of	of	io
State	state	nn1
under	under	ii
Bill	bill	np1
Clinton	clinton	np1
.	.	y
What	what	ddq
makes	make	vvz
the	the	at
book	book	nn1
engaging	engage	vvg_jj
is	be	vbz
the	the	at
diversity	diversity	nn1
of	of	io
material	material	nn1_jj@
 -- 	--	nn1
from	from	ii
the	the	at
race	race	nn1
riots	riot	nn2_vvz@
in	in	ii
Watts	watts	np1
to	to	ii
the	the	at
war	war	nn1
in	in	ii
the	the	at
Balkans	balkans	np1
 -- 	--	nn1_jj
and	and	cc
the	the	at
deft	deft	jj
sketches	sketch	nn2
of	of	io
the	the	at
characters	character	nn2
he	he	pphs1
meets	meet	vvz
along	along	ii_rp
the	the	at
way	way	nn1
.	.	y
Though	though	cs
lacking	lack	vvg
in	in	ii
Dean	dean	np1
Acheson	acheson	np1
's	's	ge
wicked	wicked	jj
wit	wit	nn1
or	or	cc
Henry	henry	np1
Kissinger	kissinger	np1
's	's	ge
grand	grand	jj
concepts	concept	nn2
,	,	y
Christopher	christopher	np1
's	's	ge
earnest	earnest	jj
approach	approach	nn1
has	have	vhz
its	its	appge
charms	charm	nn2
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Walter	walter	np1
Isaacson	isaacson	np1
