@@376177	##	fo
Here	here	rl
's	be	vbz
a	a	at1
reason	reason	nn1
to	to	to
think	think	vvi
twice	twice	rr
about	about	ii
giving	give	vvg
antibiotics	antibiotic	nn2
to	to	ii
kids	kid	nn2
:	:	y
researchers	researcher	nn2
at	at	ii
the	the	at
Henry	henry	np1
Ford	ford	np1
Hospital	hospital	nn1
in	in	ii
Detroit	detroit	np1
found	find	vvd
that	that	cst_dd1
by	by	ii
age	age	nn1
7	7	mc
,	,	y
children	child	nn2
who	who	pnqs
received	receive	vvd
antibiotics	antibiotic	nn2
such	such	ii21
as	as	ii22
penicillin	penicillin	nn1
in	in	ii
their	their	appge
first	first	md
six	six	mc
months	month	nnt2
were	be	vbdr
1.5	1.5	mc
times	time	nnt2
as	as	rg
likely	likely	jj
to	to	to
develop	develop	vvi
allergies	allergy	nn2
and	and	cc
more	more	dar
than	than	csn
twice	twice	rr
as	as	csa_rg@
likely	likely	jj
to	to	to
develop	develop	vvi
asthma	asthma	nn1
as	as	csa_ii@
kids	kid	nn2
who	who	pnqs
did	do	vdd
n't	n't	xx
get	get	vvi
the	the	at
drugs	drug	nn2
.	.	y
Also	also	rr
at	at	ii
higher	high	jjr
risk	risk	nn1
for	for	if
allergies	allergy	nn2
were	be	vbdr
children	child	nn2
who	who	pnqs
were	be	vbdr
breast-fed	breast-fed	jj
for	for	if
more	more	dar
than	than	csn
four	four	mc
months	month	nnt2
and	and	cc
those	those	dd2
whose	whose	ddqge
mothers	mother	nn2
had	have	vhd
a	a	at1
history	history	nn1
of	of	io
allergies	allergy	nn2
.	.	y
The	the	at
study	study	nn1
followed	follow	vvd_vvn
448	448	mc
youngsters	youngster	nn2
suffering	suffer	vvg_jj
allergies	allergy	nn2
to	to	ii
pets	pet	nn2
,	,	y
ragweed	ragweed	vv0_nn1
,	,	y
grass	grass	nn1
and	and	cc
dust	dust	nn1_vv0@
mites	mite	nn2
.	.	y
Researchers	researcher	nn2
do	do	vd0
n't	n't	xx
know	know	vvi
the	the	at
precise	precise	jj
link	link	nn1
between	between	ii
antibiotics	antibiotic	nn2
and	and	cc
allergies	allergy	nn2
,	,	y
but	but	ccb
they	they	pphs2
think	think	vv0
the	the	at
drugs	drug	nn2
may	may	vm
interfere	interfere	vvi
with	with	iw
the	the	at
development	development	nn1
of	of	io
the	the	at
immune	immune	jj
system	system	nn1
.	.	y
One	one	mc1
thing	thing	nn1
that	that	cst
helped	help	vvd_jj@
ward	ward	nn1
off	off	ii
allergies	allergy	nn2
and	and	cc
asthma	asthma	nn1
:	:	y
having	have	vhg
more	more	dar
than	than	csn
two	two	mc
pets	pet	nn2
(	(	y
cats	cat	nn2
or	or	cc
dogs	dog	nn2
)	)	y
around	around	rp
in	in	ii
the	the	at
child	child	nn1
's	's	ge
first	first	md
year	year	nnt1
.	.	y
 -- 	--	nn1_jj
By	by	ii
Sora	sora	np1
Song	song	nn1
