@@337445	##	fo
A	a	zz1
problem	problem	nn1
of	of	io
Texas-size	texas-size	jj	
proportions	proportion	nn2
has	have	vhz
prompted	prompt	vvn
a	a	at1
rescue	rescue	nn1
effort	effort	nn1
just	just	rr
as	as	rg
big	big	jj
.	.	y
Last	last	md
week	week	nnt1
the	the	at
Federal	federal	jj
Government	government	nn1
disclosed	disclose	vvn_vvd@
a	a	at1
sweeping	sweeping	jj
plan	plan	nn1
to	to	to
shore	shore	vvi
up	up	rp
one	one	mc1
of	of	io
the	the	at
weakest	weakest	jjt
spots	spot	nn2
in	in	ii
the	the	at
U.S.	u.s.-	np1
financial	financial	jj
system	system	nn1
:	:	y
the	the	at
increasingly	increasingly	rr
insolvent	insolvent	jj
Texas	texas	np1
savings	saving	nn2
and	and	cc
loan	loan	nn1
industry	industry	nn1
.	.	y
Hit	hit	vvn_vv0@_vvd	
first	first	md
by	by	ii
the	the	at
oil	oil	nn1
bust	bust	nn1_vv0
,	,	y
then	then	rt
a	a	at1
real	real	jj
estate	estate	nn1
collapse	collapse	nn1
,	,	y
Texas	texas	np1
thrifts	thrift	nn2
lost	lose	vvd_vvn
an	an	at1
estimated	estimate	jj@
$5	$5	nnu
billion	billion	m
last	last	md
year	year	nnt1
.	.	y
The	the	at
salvage	salvage	nn1
scheme	scheme	nn1
proposed	propose	vvn
by	by	ii
the	the	at
Federal	federal	jj
Home	home	nn1
Loan	loan	nn1
Bank	bank	nn1
Board	board	nn1
will	will	vm
drastically	drastically	rr
reduce	reduce	vvi
the	the	at
number	number	nn1
of	of	io
independent	independent	jj
Texas	texas	np1
thrifts	thrift	nn2
,	,	y
from	from	ii
281	281	mc
to	to	ii
less	less	dar
than	than	csn
180	180	mc
,	,	y
by	by	ii
forcing	force	vvg
%	%	nnu
weak	weak	jj
institutions	institution	nn2
into	into	ii
mergers	merger	nn2
with	with	iw
stronger	strong	jjr
ones	one	nn2
.	.	y
Cost	cost	nn1_vv0
of	of	io
the	the	at
plan	plan	nn1
:	:	y
more	more	dar_rrr
than	than	csn
$7	$7	nnu
billion	billion	m
over	over	ii
several	several	da2
years	year	nnt2
.	.	y
At	at	rr21
least	least	rr22
$1	$1	nnu
billion	billion	m
is	be	vbz
expected	expect	vvn_jj
to	to	to
come	come	vvi
from	from	ii
private	private	jj
investors	investor	nn2
who	who	pnqs
want	want	vv0
to	to	to
buy	buy	vvi
a	a	at1
piece	piece	nn1
of	of	io
the	the	at
thrifts	thrift	nn2
at	at	ii
bargain	bargain	nn1
prices	price	nn2
.	.	y
