@@337444	##	fo
Kodak	kodak	np1
's	's	ge
disc	disc	nn1
camera	camera	nn1
was	be	vbdz
built	build	vvn
around	around	ii_rp
a	a	at1
fool-proof	fool-proof	jj
concept	concept	nn1
:	:	y
a	a	at1
film	film	nn1
cartridge	cartridge	nn1
containing	contain	vvg
a	a	at1
disc	disc	nn1
of	of	io
15	15	mc
tiny	tiny	jj
frames	frame	nn2
.	.	y
But	but	ccb
after	after	ii
selling	sell	vvg
25	25	mc
million	million	m
disc	disc	nn1
cameras	camera	nn2
since	since	ii
1982	1982	mc
,	,	y
Kodak	kodak	np1
said	say	vvd
last	last	md
week	week	nnt1
that	that	cst
it	it	pph1
has	have	vhz
suspended	suspend	vvn
production	production	nn1
.	.	y
While	while	cs
the	the	at
company	company	nn1
has	have	vhz
promised	promise	vvn
to	to	to
keep	keep	vvi
making	make	vvg_nn1@
film	film	nn1
for	for	if
the	the	at
cameras	camera	nn2
,	,	y
photo	photo	nn1
experts	expert	nn2
believe	believe	vv0
Kodak	kodak	np1
is	be	vbz
ditching	ditch	vvg
the	the	at
disc	disc	nn1
design	design	nn1
for	for	rr21_if
good	good	rr22_jj
.	.	y
Sales	sales	nn
of	of	io
the	the	at
cameras	camera	nn2
,	,	y
while	while	cs
brisk	brisk	jj
at	at	rr21
first	first	rr22
,	,	y
slumped	slump	vvn_vvd
to	to	ii
fewer	fewer	dar
than	than	csn
2	2	mc
million	million	m
last	last	md
year	year	nnt1
.	.	y
The	the	at
disc	disc	nn1
's	's	ge
fatal	fatal	jj
flaw	flaw	nn1
is	be	vbz
its	its	appge
minuscule	minuscule	jj
negatives	negative	nn2
,	,	y
which	which	ddq
tend	tend	vv0
to	to	to
produce	produce	vvi
grainy	grainy	jj
snapshots	snapshot	nn2
.	.	y
That	that	dd1
handicap	handicap	nn1
has	have	vhz
become	become	vvn@
even	even	rr
more	more	rgr_rrr
glaring	glaring	jj_vvg
with	with	iw
the	the	at
arrival	arrival	nn1
of	of	io
simple	simple	jj
and	and	cc
inexpensive	inexpensive	jj
35-mm	35-mm	jj
cameras	camera	nn2
.	.	y
