@@334148	##	fo
DIED	die	vvd_vvn@
.	.	y
Iosif	iosif	np1@_nn1	
Shklovskii	shklovskii	np1_nn1	
,	,	y
68	68	mc
,	,	y
maverick	maverick	nn1
Soviet	soviet	jj_nn1@
astrophysicist	astrophysicist	nn1
and	and	cc
radio	radio	nn1
astronomer	astronomer	nn1
who	who	pnqs
made	make	vvd
basic	basic	jj
discoveries	discovery	nn2
about	about	ii
neutron	neutron	nn1
stars	star	nn2
,	,	y
quasars	quasar	nn2
and	and	cc
novas	novas	nn2
(	(	y
exploding	explode	vvg
stars	star	nn2
)	)	y
,	,	y
and	and	cc
also	also	rr
led	lead	vvd_vvn
the	the	at
Soviets	soviet	nn2
'	'	ge
search	search	nn1
for	for	if
extraterrestrial	extraterrestrial	jj_nn1
intelligence	intelligence	nn1
;	;	y
of	of	io
undisclosed	undisclosed	jj
causes	cause	nn2
;	;	y
in	in	ii
Moscow	moscow	np1
.	.	y
In	in	ii
the	the	at
mid-1960s	mid-1960	nn2
he	he	pphs1
posited	posit	vvd
that	that	cst
some	some	dd
intense	intense	jj
radio	radio	nn1
emissions	emission	nn2
came	come	vvd
from	from	ii
advanced	advanced	jj
alien	alien	jj_nn1
civilizations	civilization	nn2
,	,	y
but	but	ccb
they	they	pphs2
proved	prove	vvd
to	to	to
be	be	vbi
from	from	ii
quasars	quasar	nn2
.	.	y
Shklovskii	shklovskii	np1@_nn2	
's	's	ge
1966	1966	mc
collaborative	collaborative	jj
book	book	nn1
with	with	iw
U.S.	u.s.-	np1
Astronomer	astronomer	np1	
Carl	carl	np1
Sagan	sagan	np1
,	,	y
Intelligent	intelligent	jj
Life	life	nn1
in	in	ii
the	the	at
Universe	universe	nn1
,	,	y
is	be	vbz
still	still	rr
considered	consider	vvn_vvd
the	the	at
basic	basic	jj
treatise	treatise	nn1
on	on	ii
the	the	at
prospects	prospect	nn2
for	for	if
life	life	nn1
beyond	beyond	ii
earth	earth	nn1
.	.	y
