@@334551	##	fo
Can	can	vm
science	science	nn1
help	help	vv0_nn1
shrinking	shrinking	jj_nn1_vvg
violets	violet	nn2
blossom	blossom	nn1
?	?	y
Well	well	rr
,	,	y
not	not	xx
yet	yet	rr
.	.	y
But	but	ccb
Stanford	stanford	np1
University	university	nn1
researchers	researcher	nn2
believe	believe	vv0
they	they	pphs2
have	have	vh0
identified	identify	vvn
a	a	at1
chemical	chemical	jj_nn1
key	key	nn1_jj
to	to	ii
shyness	shyness	nn1
.	.	y
In	in	ii
a	a	at1
study	study	nn1
of	of	io
16	16	mc
men	man	nn2
at	at	ii
the	the	at
Palo	palo	np1
Alto	alto	np1
Veterans	veteran	nn2
Administration	administration	nn1
Center	center	nn1
,	,	y
they	they	pphs2
found	find	vvd
that	that	cst_dd1
timid	timid	jj
types	type	nn2
have	have	vh0
lower	low	jjr
levels	level	nn2
of	of	io
the	the	at
brain	brain	nn1
chemical	chemical	nn1_jj
dopamine	dopamine	nn1
than	than	csn
more	more	rgr_rrr
extroverted	extroverted	jj@_vvd
individuals	individual	nn2
(	(	y
as	as	csa
measured	measure	vvn
by	by	ii
standardized	standardized	jj
personality	personality	nn1
tests	test	nn2_vvz@
)	)	y
.	.	y
<P>	<p>	null	
Past	past	jj_ii_nn1
research	research	nn1
has	have	vhz
shown	show	vvn
that	that	cst_dd1
abnormal	abnormal	jj
dopamine	dopamine	nn1
levels	level	nn2
play	play	vv0
a	a	at1
role	role	nn1
in	in	ii
Parkinson	parkinson	np1
's	's	ge
disease	disease	nn1
,	,	y
schizophrenia	schizophrenia	nn1
and	and	cc
possibly	possibly	rr
narcolepsy	narcolepsy	nn1
,	,	y
but	but	ccb
the	the	at
Stanford	stanford	np1
research	research	nn1
appears	appear	vvz
to	to	to
be	be	vbi
the	the	at
first	first	md
to	to	to
link	link	vvi
the	the	at
chemical	chemical	nn1_jj
to	to	ii
a	a	at1
normal	normal	jj
personality	personality	nn1
trait	trait	nn1
.	.	y
"	"	"
There	there	ex
's	be	vbz
nothing	nothing	pn1
pathological	pathological	jj
about	about	ii
shyness	shyness	nn1
,	,	y
"	"	"
says	say	vvz
Psychiatrist	psychiatrist	jj_nn1
Roy	roy	np1
King	king	np1@_nn1
,	,	y
who	who	pnqs
headed	head	vvd@
the	the	at
study	study	nn1
.	.	y
He	he	pphs1
concedes	concede	vvz
that	that	dd1_cst
research	research	nn1_vv0@
such	such	ii21
as	as	ii22
his	his	ppge@
could	could	vm
lead	lead	vvi
to	to	ii
new	new	jj
drugs	drug	nn2
that	that	cst
modify	modify	vv0
individual	individual	jj
personality	personality	nn1
,	,	y
but	but	ccb
finds	find	vvz
the	the	at
concept	concept	nn1
"	"	"
scary	scary	jj
.	.	y
"	"	"
Besides	besides	rr
,	,	y
he	he	pphs1
says	say	vvz
,	,	y
"	"	"
society	society	nn1
needs	need	vvz_nn2
both	both	rr
extroverted	extroverted	vvd_vvn@_jj@	
and	and	cc
introverted	introvert	vvd_jj@
people	people	nn
.	.	y
"	"	"
