@@329468	##	fo
Eighteen	eighteen	mc
bombings	bombing	nn2
rocked	rock	vvd_vvn
Bogota	bogota	np1
last	last	md
week	week	nnt1
as	as	ii_csa
the	the	at
cocaine	cocaine	nn1
warlords	warlord	nn2
stepped	step	vvd_vvn
up	up	rp
their	their	appge
counterattack	counterattack	nn1
against	against	ii
the	the	at
government	government	nn1
's	's	ge
crackdown	crackdown	nn1
on	on	ii
drug	drug	nn1
traffickers	trafficker	nn2
.	.	y
But	but	ccb
the	the	at
frightened	frighten	jj
citizens	citizen	nn2
of	of	io
Colombia	colombia	np1
were	be	vbdr
also	also	rr
rattled	rattle	vvn
by	by	ii
word	word	nn1
that	that	cst_dd1
Justice	justice	nn1_np1@
Minister	minister	nn1
Monica	monica	np1
de	de	np1
Greiff	greiff	np1	
had	have	vhd
resigned	resign	vvn
her	her	appge
post	post	nn1
,	,	y
just	just	rr
two	two	mc
months	month	nnt2
after	after	ii
taking	take	vvg
the	the	at
job	job	nn1
.	.	y
De	de	np1
Greiff	greiff	np1	
,	,	y
32	32	mc
,	,	y
quit	quit	vvn_vvd_vv0
after	after	ii
receiving	receive	vvg
numerous	numerous	jj
death	death	nn1
threats	threat	nn2
to	to	ii
herself	herself	ppx1
,	,	y
her	her	appge
Argentine	argentine	jj_nn1
husband	husband	nn1
and	and	cc
their	their	appge
three-year-old	three-year-old	jj
son	son	nn1
.	.	y
<P>	<p>	null	
While	while	cs
a	a	at1
disappointment	disappointment	nn1
to	to	ii
some	some	dd
,	,	y
De	de	np1
Greiff	greiff	np1	
's	's	ge
resignation	resignation	nn1
was	be	vbdz
not	not	xx
unexpected	unexpected	jj
.	.	y
Before	before	ii
visiting	visit	vvg
the	the	at
U.S.	u.s.-	np1
in	in	ii
late	late	jj
August	august	npm1
,	,	y
she	she	pphs1
handed	hand	vvd
President	president	nnb
Virgilio	virgilio	np1
Barco	barco	np1
Vargas	vargas	np2
an	an	at1
open-dated	open-dated	jj_nn1
resignation	resignation	nn1
.	.	y
Barco	barco	nn1_np1@	
requested	request	vvn_vvd@
that	that	cst
she	she	pphs1
stay	stay	vv0
on	on	rp@
until	until	cs
he	he	pphs1
found	find	vvd
a	a	at1
replacement	replacement	nn1
.	.	y
Last	last	md
week	week	nnt1
he	he	pphs1
did	do	vdd
,	,	y
naming	name	vvg_nn1
Communications	communication	nn2
Minister	minister	vv0@_nn1
Carlos	carlos	np1
Lemos	lemos	np1
Simmonds	simmonds	np1
as	as	ii_csa
the	the	at
interim	interim	jj_nn1
Justice	justice	nn1
Minister	minister	nn1
.	.	y
If	if	cs
Lemos	lemos	np1
Simmonds	simmonds	np1
agrees	agree	vvz
to	to	to
accept	accept	vvi
the	the	at
post	post	nn1
formally	formally	rr
,	,	y
he	he	pphs1
will	will	vm
be	be	vbi
Colombia	colombia	np1
's	's	ge
ninth	ninth	md
Justice	justice	nn1
Minister	minister	nn1
in	in	ii
three	three	mc
years	year	nnt2
.	.	y
