@@328470	##	fo
According	according	ii21
to	to	ii22
Marxist-Leninist	marxist-leninist	jj
dogma	dogma	nn1
,	,	y
Soviet	soviet	jj
workers	worker	nn2
have	have	vh0
no	no	at
reason	reason	nn1
to	to	to
strike	strike	vvi
because	because	cs
they	they	pphs2
live	live	vv0
in	in	ii_rp@
a	a	at1
proletarian	proletarian	jj
paradise	paradise	nn1
.	.	y
That	that	dd1
has	have	vhz
not	not	xx
,	,	y
however	however	rr
,	,	y
stopped	stop	vvd_vvn
the	the	at
working	work	jj@
masses	mass	nn2
in	in	ii
the	the	at
world	world	nn1
's	's	ge
oldest	old	jjt
socialist	socialist	jj
state	state	nn1
from	from	ii
occasionally	occasionally	rr
walking	walk	vvg
out	out	rp
.	.	y
<P>	<p>	null	
Last	last	md
week	week	nnt1
Moscow	moscow	np1
decided	decide	vvd
to	to	to
drop	drop	vvi
the	the	at
ideological	ideological	jj
baggage	baggage	nn1
and	and	cc
proposed	propose	vvd_vvn
a	a	at1
new	new	jj
law	law	nn1
that	that	cst_dd1
for	for	if_cs%
the	the	at
first	first	md
time	time	nnt1
would	would	vm
allow	allow	vvi
the	the	at
country	country	nn1
's	's	ge
normally	normally	rr
docile	docile	jj
labor	labor	nn1
unions	union	nn2
,	,	y
to	to	ii
which	which	ddq
more	more	dar_rrr
than	than	csn
90%	90%	nnu
of	of	io
all	all	db
Soviet	soviet	jj
workers	worker	nn2
belong	belong	vv0
,	,	y
the	the	at
right	right	nn1
to	to	to
strike	strike	vvi
.	.	y
The	the	at
law	law	nn1
is	be	vbz
expected	expect	vvn_jj
to	to	to
be	be	vbi
enacted	enact	vvn
later	later	rrr
this	this	dd1
year	year	nnt1
.	.	y
<P>	<p>	null	
The	the	at
government	government	nn1
's	's	ge
action	action	nn1
is	be	vbz
partly	partly	rr
a	a	at1
result	result	nn1
of	of	io
increased	increased	jj
work	work	nn1
disruptions	disruption	nn2
under	under	ii
Mikhail	mikhail	np1
Gorbachev	gorbachev	np1
's	's	ge
perestroika	perestroika	nn1
.	.	y
Last	last	md
year	year	nnt1
alone	alone	rr
brought	bring	vvn_vvd
at	at	rr21
least	least	rr22
15	15	mc
strikes	strike	nn2_vvz
around	around	ii_rp
the	the	at
country	country	nn1
involving	involve	vvg
factory	factory	nn1
workers	worker	nn2
,	,	y
miners	miner	nn2
,	,	y
bus	bus	nn1_vv0@
drivers	driver	nn2
and	and	cc
carpet	carpet	nn1_vv0@
weavers	weaver	nn2
.	.	y
Last	last	md
month	month	nnt1
even	even	rr
the	the	at
Leningrad	leningrad	np1
police	police	nn2
walked	walk	vvd_vvn@
off	off	ii_rp
the	the	at
beat	beat	nn1
for	for	if
24	24	mc
hours	hour	nnt2
,	,	y
demanding	demand	vvg
better	better	rrr_jjr
working	work	vvg_jj@
conditions	condition	nn2
.	.	y
