@@335751	##	fo
Because	because	cs
he	he	pphs1
publicly	publicly	rr
criticized	criticize	vvd_vvn
the	the	at
Soviet	soviet	jj
invasion	invasion	nn1
of	of	io
Afghanistan	afghanistan	np1
,	,	y
Dissident	dissident	jj_nn1
Physicist	physicist	nn1
Andrei	andrei	np1
Sakharov	sakharov	np1
spent	spend	vvd
nearly	nearly	rr
seven	seven	mc
years	year	nnt2
of	of	io
internal	internal	jj
exile	exile	nn1
in	in	ii
the	the	at
closed	close	jj
city	city	nn1
of	of	io
Gorky	gorky	np1
.	.	y
At	at	ii
a	a	at1
ceremony	ceremony	nn1
in	in	ii
Moscow	moscow	np1
last	last	md
week	week	nnt1
inducting	induct	vvg
him	him	ppho1
into	into	ii
the	the	at
French	french	jj_nn1
Academy	academy	nn1
of	of	io
Sciences	science	nn2
,	,	y
Sakharov	sakharov	np1
,	,	y
who	who	pnqs
was	be	vbdz
allowed	allow	vvn
to	to	to
return	return	vvi
home	home	rl
last	last	md
December	december	npm1
,	,	y
accused	accuse	vvd_vvn
fellow	fellow	jj_nn1
members	member	nn2
of	of	io
the	the	at
Soviet	soviet	jj
Academy	academy	nn1
of	of	io
Sciences	science	nn2
of	of	io
spreading	spread	vvg_jj
"	"	"
cock-and-bull	cock-and-bull	jj_nn1
stories	story	nn2
"	"	"
about	about	ii
his	his	ppge@_appge
supposedly	supposedly	rr
"	"	"
tranquil	tranquil	jj
life	life	nn1
"	"	"
in	in	ii
Gorky	gorky	np1
.	.	y
On	on	ii
the	the	at
contrary	contrary	nn1_jj
,	,	y
he	he	pphs1
said	say	vvd
,	,	y
he	he	pphs1
suffered	suffer	vvd
psychological	psychological	jj
torture	torture	nn1
and	and	cc
frequent	frequent	jj
harassment	harassment	nn1
while	while	cs
in	in	ii
exile	exile	nn1
.	.	y
Despite	despite	ii
the	the	at
current	current	jj
policy	policy	nn1
of	of	io
glasnost	glasnost	nn1
(	(	y
openness	openness	nn1
)	)	y
,	,	y
a	a	at1
newspaper	newspaper	nn1
account	account	nn1
of	of	io
the	the	at
ceremony	ceremony	nn1
did	do	vdd
not	not	xx
mention	mention	vvi
Sakharov	sakharov	np1
's	's	ge
remarks	remark	nn2
.	.	y
