@@335242	##	fo
Malta	malta	np1
lies	lie	vvz_nn2
in	in	ii
the	the	at
Mediterranean	mediterranean	jj_np1
halfway	halfway	jj_rr
between	between	ii
Western	western	np1
Europe	europe	np1
and	and	cc
Libya	libya	np1
,	,	y
and	and	cc
its	its	appge
politics	politics	nn1
reflects	reflect	vvz
its	its	appge
geography	geography	nn1
.	.	y
Since	since	cs
Malta	malta	np1
gained	gain	vvd
independence	independence	nn1
from	from	ii
Britain	britain	np1
in	in	ii
1964	1964	mc
,	,	y
elections	election	nn2
have	have	vh0
been	be	vbn
decided	decide	vvn
between	between	ii
the	the	at
pro-Western	pro-western	jj
Nationalist	nationalist	nn1_jj@
Party	party	nn1
and	and	cc
the	the	at
Labor	labor	nn1
Party	party	nn1
,	,	y
which	which	ddq
favors	favor	vvz
close	close	jj_rr@
ties	tie	nn2_vvz
to	to	ii
Libya	libya	np1
and	and	cc
the	the	at
East	east	nd1
bloc	bloc	nn1
.	.	y
Now	now	rt
,	,	y
after	after	ii_cs
16	16	mc
years	year	nnt2
of	of	io
Labor	labor	nn1
rule	rule	nn1
,	,	y
Maltese	maltese	jj
voters	voter	nn2
have	have	vh0
elected	elect	vvn
a	a	at1
Nationalist	nationalist	nn1_jj@
government	government	nn1
.	.	y
<P>	<p>	null	
Once	once	rr_cs@
a	a	at1
port	port	nn1
of	of	io
call	call	nn1
for	for	if
NATO	nato	np1
warships	warship	nn2
,	,	y
Malta	malta	np1
under	under	ii
Labor	labor	nn1
increasingly	increasingly	rr
turned	turn	vvn_vvd
to	to	ii
the	the	at
Soviet	soviet	jj
Union	union	nn1
,	,	y
North	north	np1
Korea	korea	np1
and	and	cc
Libya	libya	np1
for	for	if
economic	economic	jj
and	and	cc
military	military	jj
aid	aid	nn1
.	.	y
So	so	rr
close	close	jj_rr@
were	be	vbdr
security	security	nn1
ties	tie	vvz_nn2
with	with	iw
Libyan	libyan	jj
Strongman	strongman	nn1
Muammar	muammar	nn1_np1	
Gaddafi	gaddafi	nn1_np1	
that	that	cst_dd1
Maltese	maltese	jj
officials	official	nn2
tried	try	vvd
to	to	to
warn	warn	vvi
Tripoli	tripoli	np1
minutes	minute	nnt2_vvz%
before	before	ii_cs
last	last	md
year	year	nnt1
's	's	ge
U.S.	u.s.-	np1
air	air	nn1
raid	raid	nn1
on	on	ii
Libya	libya	np1
.	.	y
<P>	<p>	null	
The	the	at
new	new	jj
Prime	prime	jj
Minister	minister	nn1
,	,	y
Eddie	eddie	np1
Fenech	fenech	np1	
Adami	adami	np1
,	,	y
has	have	vhz
pledged	pledge	vvn
to	to	to
abide	abide	vvi
by	by	ii
the	the	at
constitution	constitution	nn1
's	's	ge
neutrality	neutrality	nn1
clause	clause	nn1
,	,	y
but	but	ccb
he	he	pphs1
says	say	vvz
,	,	y
"	"	"
This	this	dd1
country	country	nn1
's	's	ge
place	place	nn1
is	be	vbz
in	in	ii
Western	western	np1
Europe	europe	np1
.	.	y
"	"	"
