@@327678	##	fo
American	american	jj
business	business	nn1
leaders	leader	nn2
,	,	y
who	who	pnqs
are	be	vbr
eager	eager	jj
to	to	to
get	get	vvi
Moscow	moscow	np1
's	's	ge
ear	ear	nn1
on	on	ii
joint-venture	joint-venture	nn1
ideas	idea	nn2
,	,	y
think	think	vv0
they	they	pphs2
have	have	vh0
found	find	vvn
just	just	rr
the	the	at
way	way	nn1
to	to	to
do	do	vdi
it	it	pph1
.	.	y
A	a	at1
group	group	nn1
of	of	io
companies	company	nn2
led	lead	vvn
by	by	ii
Dwayne	dwayne	np1
Andreas	andreas	np1
,	,	y
chairman	chairman	nn1
of	of	io
the	the	at
agricultural	agricultural	jj
giant	giant	nn1_jj
Archer	archer	np1
Daniels	daniels	np1
Midland	midland	np1
,	,	y
wants	want	vvz
to	to	to
buy	buy	vvi
the	the	at
partly	partly	rr
completed	complete	vvd_vvn
U.S.	u.s.-	np1
embassy	embassy	nn1
in	in	ii
Moscow	moscow	np1
and	and	cc
convert	convert	vv0
it	it	pph1
to	to	ii
office	office	nn1
space	space	nn1
for	for	if
American	american	jj
companies	company	nn2
doing	do	vdg
deals	deal	nn2
there	there	rl
.	.	y
Construction	construction	nn1
on	on	ii
the	the	at
$22	$22	nnu
million	million	m
,	,	y
eight-story	eight-story	jj_nn1
facility	facility	nn1
was	be	vbdz
halted	halt	vvn
in	in	ii
1985	1985	mc
,	,	y
when	when	rrq
the	the	at
U.S.	u.s.-	np1
discovered	discover	vvd
it	it	pph1
was	be	vbdz
honeycombed	honeycomb	vvn@
with	with	iw
listening	listen	jj_vvg
devices	device	nn2
.	.	y
If	if	cs
President	president	nnb
Bush	bush	np1
decides	decide	vvz
to	to	to
pursue	pursue	vvi
the	the	at
proposal	proposal	nn1
,	,	y
he	he	pphs1
would	would	vm
have	have	vhi
to	to	to
persuade	persuade	vvi
the	the	at
Soviets	soviet	nn2
to	to	to
provide	provide	vvi
another	another	dd1
site	site	nn1
for	for	if
the	the	at
new	new	jj
embassy	embassy	nn1
.	.	y
