@@332664	##	fo
When	when	rrq_cs
conservative	conservative	jj_nn1
Jacques	jacques	np1
Chirac	chirac	np1
became	become	vvd
Premier	premier	nn1_jj
of	of	io
France	france	np1
in	in	ii
March	march	npm1
,	,	y
the	the	at
heads	head	nn2
of	of	io
the	the	at
country	country	nn1
's	's	ge
state-owned	state-owned	jj
corporations	corporation	nn2
knew	know	vvd
that	that	cst
their	their	appge
days	day	nnt2
at	at	ii
the	the	at
helm	helm	nn1
could	could	vm
be	be	vbi
numbered	number	vvn
.	.	y
Chirac	chirac	np1
had	have	vhd
pledged	pledge	vvn
that	that	cst
he	he	pphs1
would	would	vm
carry	carry	vvi
out	out	rp
a	a	at1
sweeping	sweeping	jj
program	program	nn1
of	of	io
denationalization	denationalization	nn1	
.	.	y
Observed	observe	vvn_vvd
an	an	at1
executive	executive	nn1
at	at	ii
a	a	at1
government-controlled	government-controlled	jj
bank	bank	nn1
:	:	y
"	"	"
Rather	rather	rg
fewer	fewer	dar
decisions	decision	nn2
have	have	vh0
been	be	vbn
made	make	vvn
lately	lately	rr
.	.	y
There	there	ex
's	be	vbz
no	no	at
sense	sense	nn1
in	in	ii
crawling	crawl	vvg
out	out	rp
on	on	ii
a	a	at1
limb	limb	nn1
that	that	cst
you	you	ppy
know	know	vv0
is	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
sawed	saw	vvn@
off	off	rp
.	.	y
"	"	"
<P>	<p>	null	
Last	last	md
week	week	nnt1
Chirac	chirac	np1
ended	end	vvd
the	the	at
suspense	suspense	nn1
:	:	y
he	he	pphs1
replaced	replace	vvd
the	the	at
heads	head	nn2
of	of	io
twelve	twelve	mc
large	large	jj
banks	bank	nn2
,	,	y
insurance	insurance	nn1
companies	company	nn2
and	and	cc
industrial	industrial	jj
groups	group	nn2
.	.	y
These	these	dd2
firms	firm	nn2
are	be	vbr
among	among	ii
65	65	mc
that	that	cst
he	he	pphs1
hopes	hope	vvz
to	to	to
sell	sell	vvi
to	to	ii
private	private	jj
investors	investor	nn2
.	.	y
The	the	at
Premier	premier	nn1_jj
apparently	apparently	rr
believes	believe	vvz
that	that	cst_dd1
new	new	jj
management	management	nn1
will	will	vm
help	help	vvi
the	the	at
companies	company	nn2
make	make	vv0
a	a	at1
smooth	smooth	jj
break	break	nn1
with	with	iw
the	the	at
state	state	nn1
.	.	y
