@@338355	##	fo
For	for	if
at	at	rr21
least	least	rr22
some	some	dd
of	of	io
the	the	at
thousands	thousands	m
of	of	io
elderly	elderly	jj
Americans	american	nn2
whose	whose	ddqge
life	life	nn1
savings	saving	nn2
are	be	vbr
threatened	threaten	vvn
by	by	ii
the	the	at
astronomical	astronomical	jj
cost	cost	nn1
of	of	io
a	a	at1
catastrophic	catastrophic	jj
illness	illness	nn1
,	,	y
the	the	at
bill	bill	nn1
comes	come	vvz
just	just	rr
in	in	ii
time	time	nnt1
.	.	y
Last	last	md
week	week	nnt1
House	house	nn1
and	and	cc
Senate	senate	nn1
conferees	conferee	nn2
approved	approve	vvd_vvn
the	the	at
Catastrophic	catastrophic	jj
Loss	loss	nn1
Prevention	prevention	nn1
Act	act	nn1
,	,	y
the	the	at
largest	large	jjt
expansion	expansion	nn1
of	of	io
Medicare	medicare	np1
since	since	cs_ii@
its	its	appge
creation	creation	nn1
23	23	mc
years	year	nnt2
ago	ago	ra
.	.	y
The	the	at
new	new	jj
legislation	legislation	nn1
is	be	vbz
designed	design	vvn
to	to	to
prevent	prevent	vvi
31	31	mc
million	million	m
elderly	elderly	jj
and	and	cc
disabled	disabled	jj
Americans	american	nn2
from	from	ii
being	be	vbg
wiped	wipe	vvn
out	out	rp
by	by	ii
the	the	at
crippling	cripple	jj
cost	cost	nn1
of	of	io
hospitalization	hospitalization	nn1
.	.	y
Among	among	ii
other	other	jj
things	thing	nn2
,	,	y
the	the	at
bill	bill	nn1
provides	provide	vvz
unlimited	unlimited	jj
free	free	jj
hospital	hospital	nn1
care	care	nn1_vv0
after	after	ii_cs
a	a	at1
$589	$589	nnu
deductible	deductible	nn1@_jj
is	be	vbz
reached	reach	vvn
,	,	y
a	a	at1
$1,400	$1,400	nnu
annual	annual	jj
limit	limit	nn1
on	on	ii
doctor	doctor	nn1
's	's	ge
fees	fee	nn2
and	and	cc
a	a	at1
portion	portion	nn1
of	of	io
outpatient	outpatient	nn1
drugs	drug	nn2
.	.	y
<P>	<p>	null	
The	the	at
expanded	expand	jj
coverage	coverage	nn1
is	be	vbz
expected	expect	vvn_jj
to	to	to
cost	cost	vvi
$32	$32	nnu
billion	billion	m
over	over	ii
the	the	at
next	next	md
five	five	mc
years	year	nnt2
,	,	y
which	which	ddq
will	will	vm
be	be	vbi
paid	pay	vvn
by	by	ii
Medicare	medicare	np1
premiums	premium	nn2
of	of	io
up	up	rg21
to	to	rg22
$800	$800	nnu
.	.	y
Health	health	nn1
and	and	cc
Human	human	jj_nn1
Services	service	nn2
Secretary	secretary	np1@_nn1
Otis	otis	np1
R.	r.-he	np1
Bowen	bowen	np1
has	have	vhz
championed	champion	vvn
the	the	at
bill	bill	nn1
,	,	y
and	and	cc
the	the	at
measure	measure	nn1
is	be	vbz
expected	expect	vvn_jj
to	to	to
sail	sail	vvi
through	through	ii
the	the	at
House	house	nn1
and	and	cc
Senate	senate	nn1
.	.	y
