@@333155	##	fo
For	for	if
every	every	at1
reform	reform	nn1
there	there	ex_rl
is	be	vbz
a	a	at1
loophole	loophole	nn1
.	.	y
Under	under	ii_rg@
current	current	jj
congressional	congressional	jj
ethics	ethics	nn
codes	code	nn2
,	,	y
if	if	cs
an	an	at1
organization	organization	nn1
pays	pay	vvz
a	a	at1
politician	politician	nn1
to	to	to
give	give	vvi
a	a	at1
speech	speech	nn1
,	,	y
it	it	pph1
is	be	vbz
permitted	permit	vvn
to	to	to
pay	pay	vvi
him	him	ppho1
reasonable	reasonable	jj_rr@
travel	travel	nn1_vv0
expenses	expense	nn2
.	.	y
As	as	ii
a	a	at1
result	result	nn1
,	,	y
reports	report	vvz
the	the	at
citizens	citizen	nn2
'	'	ge
lobby	lobby	nn1
Common	common	jj
Cause	cause	nn1
,	,	y
all-expense-paid	all-expense-paid	jj
nights	night	nnt2
away	away	ii21_rl
from	from	ii22_ii
home	home	nn1
have	have	vh0
increased	increase	vvn
50%	50%	nnu
among	among	ii
Senators	senator	nn2
over	over	ii
the	the	at
past	past	jj
five	five	mc
years	year	nnt2
and	and	cc
200%	200%	nnu
among	among	ii
Congressmen	congressmen	np1_nn2
.	.	y
One	one	mc1
example	example	nn1
:	:	y
Minnesota	minnesota	np1
Senate	senate	nn1
Republican	republican	nn1
David	david	np1
Durenberger	durenberger	np1_nn1	
and	and	cc
his	his	appge
two	two	mc
sons	son	nn2
,	,	y
21	21	mc
and	and	cc
23	23	mc
,	,	y
were	be	vbdr
able	able	jk
to	to	to
wrap	wrap	vvi
a	a	at1
free	free	jj
and	and	cc
entirely	entirely	rr
legal	legal	jj
six-day	six-day	jj
Caribbean	caribbean	jj
vacation	vacation	nn1
around	around	ii
the	the	at
Senator	senator	nn1
's	's	ge
informal	informal	jj
meeting	meeting	nn1
with	with	iw
Puerto	puerto	np1
Rican	rican	np1
health	health	nn1
officials	official	nn2
and	and	cc
a	a	at1
speech	speech	nn1
he	he	pphs1
delivered	deliver	vvd
to	to	ii
Squibb	squibb	np1
Corp	corp	nn1
.	.	y
executives	executive	nn2
.	.	y
<P>	<p>	null	
The	the	at
trip	trip	nn1
was	be	vbdz
given	give	vvn_jj@
courtesy	courtesy	nn1
of	of	io
the	the	at
Puerto	puerto	np1
Rico	rico	np1
,	,	y
U.S.A.	u.s.a./	np1
Foundation	foundation	nn1
and	and	cc
a	a	at1
lobbying	lobbying	nn1_jj@
Washington	washington	np1
law	law	nn1
firm	firm	nn1
.	.	y
