@@338553	##	fo
Hong	hong	np1
Kong	kong	np1
ran	run	vvd
out	out	ii21
of	of	ii22
patience	patience	nn1
last	last	md
week	week	nnt1
.	.	y
For	for	if
13	13	mc
years	year	nnt2
,	,	y
the	the	at
British	british	jj
colony	colony	nn1
has	have	vhz
served	serve	vvn
as	as	ii
a	a	at1
way	way	nn1
station	station	nn1
for	for	if
tens	tens	mc2
of	of	io
thousands	thousands	m
of	of	io
Vietnamese	vietnamese	jj
boat	boat	nn1
people	people	nn
.	.	y
But	but	ccb
last	last	md
week	week	nnt1
,	,	y
after	after	cs_ii
this	this	dd1
year	year	nnt1
's	's	ge
flood	flood	nn1
of	of	io
newcomers	newcomer	nn2
almost	almost	rr
doubled	double	vvd_vvn
the	the	at
colony	colony	nn1
's	's	ge
refugee	refugee	nn1
population	population	nn1
,	,	y
to	to	ii
more	more	dar
than	than	csn
16,500	16,500	mc
people	people	nn
,	,	y
the	the	at
government	government	nn1
declared	declare	vvd_vvn
that	that	cst
all	all	db
future	future	jj
arrivals	arrival	nn2
will	will	vm
be	be	vbi
detained	detain	vvn
as	as	csa_rg@_ii@
illegal	illegal	jj
immigrants	immigrant	nn2
,	,	y
ineligible	ineligible	jj
for	for	if
resettlement	resettlement	nn1
unless	unless	cs
they	they	pphs2
can	can	vm
prove	prove	vvi
they	they	pphs2
are	be	vbr
victims	victim	nn2
of	of	io
persecution	persecution	nn1
.	.	y
Only	only	rr
some	some	dd
10%	10%	nnu
are	be	vbr
expected	expect	vvn
to	to	to
be	be	vbi
able	able	jk
to	to	to
do	do	vdi
so	so	rr
.	.	y
Sympathy	sympathy	nn1
is	be	vbz
in	in	ii_rp@
especially	especially	rr
short	short	jj
supply	supply	nn1
for	for	if
the	the	at
latest	late	jjt
arrivals	arrival	nn2
,	,	y
most	most	dat
of	of	io
whom	whom	pnqo
come	come	vv0
from	from	ii
northern	northern	jj
Viet	viet	np1
Nam	nam	np1
.	.	y
<P>	<p>	null	
As	as	csa
boats	boat	nn2
filled	fill	vvn_vvd
with	with	iw
refugees	refugee	nn2
arrived	arrive	vvn_vvd
in	in	ii
Hong	hong	np1
Kong	kong	np1
harbor	harbor	nn1
last	last	md
week	week	nnt1
,	,	y
police	police	nn2
went	go	vvd
aboard	aboard	rl
to	to	to
inform	inform	vvi
the	the	at
passengers	passenger	nn2
of	of	io
the	the	at
new	new	jj
policy	policy	nn1
.	.	y
The	the	at
refugees	refugee	nn2
will	will	vm
be	be	vbi
held	hold	vvn
in	in	ii
detention	detention	nn1
camps	camp	nn2
,	,	y
probably	probably	rr
for	for	if
years	year	nnt2
,	,	y
until	until	cs
the	the	at
Vietnamese	vietnamese	jj
government	government	nn1
agrees	agree	vvz
to	to	to
take	take	vvi
them	them	ppho2
back	back	rp
.	.	y
