@@679993	##	fo
txt	txt	nnu
The	the	at
Park	park	nn1_np1
Rhododendrons	rhododendron	nn2
.	.	y
It	it	pph1
would	would	vm
be	be	vbi
unfortunate	unfortunate	jj
to	to	to
bar	bar	vvi
rhododendrons	rhododendron	nn2
)	)	y
from	from	ii
the	the	at
Park	park	nn1_np1
,	,	y
as	as	csa
they	they	pphs2
are	be	vbr
of	of	io
easiest	easy	jjt
culture	culture	nn1
.	.	y
Plant	plant	vv0@
them	them	ppho2
under	under	ii
trees	tree	nn2
,	,	y
for	for	if
shade	shade	nn1
,	,	y
mulch	mulch	vv0@
them	them	ppho2
with	with	iw
all	all	db
the	the	at
leaves	leaf	nn2
possible	possible	jj
to	to	to
get	get	vvi
,	,	y
and	and	cc
do	do	vd0
not	not	xx
remove	remove	vvi
these	these	dd2
leaves	leaf	nn2
in	in	ii
the	the	at
Spring	spring	nn1
,	,	y
but	but	ccb
allow	allow	vv0
,	,	y
them	them	ppho2
to	to	to
decay	decay	vvi
as	as	csa
in	in	ii
the	the	at
natural	natural	jj
habitat	habitat	nn1
of	of	io
these	these	dd2
beautiful	beautiful	jj
native	native	jj
plants	plant	nn2
.	.	y
For	for	if
thirty	thirty	mc
years	year	nnt2
I	i	ppis1
have	have	vh0
planted	plant	vvn
them	them	ppho2
and	and	cc
now	now	rt
have	have	vh0
hundreds	hundreds	m
of	of	io
them	them	ppho2
,	,	y
and	and	cc
have	have	vh0
never	never	rr
lost	lose	vvn
but	but	ccb
one	one	mc1
or	or	cc
two	two	mc
.	.	y
Instead	instead	ii21
of	of	ii22
being	be	vbg
a	a	at1
care	care	nn1
,	,	y
they	they	pphs2
help	help	vv0
the	the	at
gardener	gardener	nn1
,	,	y
as	as	csa_ii
the	the	at
leaves	leaf	nn2
near	near	rl_vv0@
by	by	ii_rp%
are	be	vbr
raked	rake	vvn@
into	into	ii
the	the	at
beds	bed	nn2
instead	instead	ii21
of	of	ii22
being	be	vbg
carted	cart	vvn
away	away	rl
and	and	cc
burned	burn	vvn
.	.	y
But	but	ccb
never	never	rr
,	,	y
never	never	rr
apply	apply	vv0
heating	heating	nn1_vvg@
manure	manure	nn1_vv0
,	,	y
as	as	csa
they	they	pphs2
love	love	vv0
coolness	coolness	nn1
.	.	y
They	they	pphs2
are	be	vbr
not	not	xx
exotic	exotic	jj
.	.	y
