@@680823	##	fo
txt	txt	nnu
Mail	mail	nn1
Wagon	wagon	nn1
Gongs	gong	nn2
.	.	y
Anent	anent	nn1_np1@_jj
the	the	at
matter	matter	nn1
of	of	io
the	the	at
chauffeurs	chauffeur	nn2
of	of	io
Government	government	nn1
mall	mall	nn1
cars	car	nn2
driving	drive	vvg
through	through	ii_rp@
our	our	appge
streets	street	nn2
at	at	ii
a	a	at1
dangerous	dangerous	jj
rate	rate	nn1
of	of	io
speed	speed	nn1
,	,	y
there	there	ex
is	be	vbz
another	another	dd1
feature	feature	nn1
of	of	io
this	this	dd1
situation	situation	nn1
,	,	y
which	which	ddq
,	,	y
it	it	pph1
seems	seem	vvz
to	to	ii
me	me	ppio1
,	,	y
can	can	vm
be	be	vbi
well	well	rr
considered	consider	vvn
at	at	ii
the	the	at
name	name	nn1
time	time	nnt1
.	.	y
I	i	ppis1
refer	refer	vv0
to	to	ii
the	the	at
striking	strike	jj
resemblance	resemblance	nn1
of	of	io
the	the	at
sound	sound	nn1
of	of	io
their	their	appge
bells	bell	nn2
to	to	ii
the	the	at
bells	bell	nn2
of	of	io
cars	car	nn2
used	use	vvn
by	by	ii
the	the	at
Police	police	nn2
and	and	cc
Fire	fire	nn1_vv0@
Departments	department	nn2
and	and	cc
on	on	ii
ambulances	ambulance	nn2
.	.	y
That	that	dd1
certain	certain	jj
branches	branch	nn2
of	of	io
public	public	jj_nn1
service	service	nn1
should	should	vm
adopt	adopt	vvi
for	for	if
their	their	appge
vehicles	vehicle	nn2
warnings	warning	nn2
of	of	io
a	a	at1
particular	particular	jj
sort	sort	nn1
Is	be	vbz
right	right	jj
,	,	y
but	but	ccb
If	if	cs
a	a	at1
department	department	nn1
with	with	iw
as	as	rg@
many	many	da2
cars	car	nn2
as	as	ii_csa
the	the	at
Post	post	nn1
Office	office	nn1
makes	make	vvz
use	use	nn1
of	of	io
signals	signal	nn2
which	which	ddq
can	can	vm
not	not	xx
be	be	vbi
told	tell	vvn
from	from	ii
those	those	dd2
mentioned	mention	vvn
above	above	rl
,	,	y
lt	lt	nnu
will	will	vm
not	not	xx
be	be	vbi
long	long	jj
before	before	ii_cs
an	an	at1
ambulance	ambulance	nn1
or	or	cc
police	police	nn2
patrol	patrol	vv0_nn1
will	will	vm
receive	receive	vvi
no	no	at
more	more	dar
attention	attention	nn1
than	than	csn
an	an	at1
ordinary	ordinary	jj
vehicle	vehicle	nn1
,	,	y
even	even	cs21
though	though	cs22
life	life	nn1
and	and	cc
property	property	nn1
be	be	vbi
at	at	ii
stake	stake	nn1
.	.	y
