@@681301	##	fo
txt	txt	nnu
Mr.	mr.-	nnb
Bryan	bryan	np1
's	's	ge
Peace	peace	nn1
Lectures	lecture	nn2
.	.	y
The	the	at
education	education	nn1
of	of	io
the	the	at
people	people	nn
to	to	to
know	know	vvi
the	the	at
real	real	jj
value	value	nn1
of	of	io
things	thing	nn2
,	,	y
that	that	dd1
life	life	nn1
counts	count	vvz_nn2
for	for	if
more	more	dar
than	than	csn
possessions	possession	nn2
that	that	cst_dd1
hamper	hamper	nn1_vv0
Met	meet	vvd_nn1_vvn
that	that	dd1_cst
Justice	justice	nn1_np1@
and	and	cc
mercy	mercy	nn1
as	as	csa_ii@
motives	motive	nn2
by	by	ii
which	which	ddq
we	we	ppis2
act	act	vv0
according	according	ii21
to	to	ii22
Divine	divine	jj
will	will	nn1@
,	,	y
are	be	vbr
the	the	at
only	only	jj
sure	sure	jj
foundations	foundation	nn2
of	of	io
a	a	at1
national	national	jj
well-being	well-being	nn1
 -- 	--	nn1
this	this	dd1
education	education	nn1
is	be	vbz
the	the	at
surest	sure	jjt
preventive	preventive	jj
of	of	io
the	the	at
road	road	nn1
wickedness	wickedness	nn1
of	of	io
war	war	nn1
.	.	y
If	if	cs
Mr.	mr.-	nnb
Bryan	bryan	np1
preaches	preach	vvz
such	such	da
doctrines	doctrine	nn2
,	,	y
then	then	rt
your	your	appge
readers	reader	nn2
who	who	pnqs
condemn	condemn	vv0
bins	bin	nn2
for	for	if
to	to	ii
doing	do	vdg
should	should	vm
reflect	reflect	vvi
that	that	dd1_cst
helping	help	nn1_vvg
to	to	to
keep	keep	vvi
the	the	at
peace	peace	nn1
of	of	io
the	the	at
world	world	nn1
is	be	vbz
not	not	xx
work	work	vv0
unworthy	unworthy	jj
of	of	io
a	a	at1
Secretary	secretary	nn1
of	of	io
State	state	nn1
.	.	y
If	if	cs
Austria	austria	np1
had	have	vhd
teachers	teacher	nn2
of	of	io
this	this	dd1
sort	sort	nn1
.	.	y
and	and	cc
a	a	at1
Chautauqua	chautauqua	nn1@
of	of	io
her	her	appge
own	own	da
.	.	y
we	we	ppis2
might	might	vm
he	he	pphs1
spared	spare	vvd
this	this	dd1
war	war	nn1
.	.	y
The	the	at
advanced	advanced	jj
nations	nation	nn2
fight	fight	vv0
with	with	iw
reluctance	reluctance	nn1
,	,	y
the	the	at
most	most	rgt
feudal	feudal	jj
and	and	cc
backward	backward	rl_jj
start	start	vv0_nn1
the	the	at
blaze	blaze	nn1
.	.	y
It	it	pph1
is	be	vbz
a	a	at1
token	token	nn1
of	of	io
ignorance	ignorance	nn1
.	.	y
Let	let	vv0
Mr.	mr.-	nnb
Bryan	bryan	np1
spread	spread	vvi
all	all	db
the	the	at
enlightening	enlighten	jj@_nn1@
ideas	idea	nn2
he	he	pphs1
may	may	vm
possess	possess	vvi
.	.	y
