@@681302	##	fo
txt	txt	nnu
Fire	fire	nn1
Prevention	prevention	nn1
Bureau	bureau	nn1
's	's	ge
Orders	order	nn2
.	.	y
Some	some	dd
ten	ten	mc
or	or	cc
twelve	twelve	mc
months	month	nnt2
ago	ago	ra
Fire	fire	nn1
Prevention	prevention	nn1
Inspectors	inspector	nn2
visited	visit	vvd_vvn
my	my	appge
buildings	building	nn2
,	,	y
and	and	cc
as	as	ii
a	a	at1
result	result	nn1
,	,	y
orders	order	nn2
were	be	vbdr
issued	issue	vvn
to	to	to_ii
Install	install	vv0
water	water	nn1
buckets	bucket	nn2
and	and	cc
fireproof	fireproof	jj_vv0
receptacles	receptacle	nn2
.	.	y
This	this	dd1
was	be	vbdz
done	do	vdn
within	within	ii
a	a	at1
few	few	da2
days	day	nnt2
.	.	y
and	and	cc
since	since	ii
then	then	rt
I	i	ppis1
have	have	vh0
received	receive	vvn
notice	notice	nn1_vv0
after	after	ii_cs
notice	notice	nn1_vv0
that	that	cst
if	if	cs
I	i	ppis1
did	do	vdd
not	not	xx
comply	comply	vvi
with	with	iw
the	the	at
orders	order	nn2
of	of	io
the	the	at
Fire	fire	nn1
Commissioner	commissioner	nn1
dire	dire	jj
penalties	penalty	nn2
would	would	vm
IDE	ide	vvi	
,	,	y
imposed	impose	vvn_vvd
upon	upon	ii
me	me	ppio1
.	.	y
The	the	at
inspection	inspection	nn1
of	of	io
the	the	at
building	building	nn1
and	and	cc
the	the	at
issuance	issuance	nn1
of	of	io
the	the	at
orders	order	nn2
were	be	vbdr
perfectly	perfectly	rr
proper	proper	jj
,	,	y
but	but	ccb
why	why	rrq
In	in	ii
the	the	at
name	name	nn1
of	of	io
"	"	"
efficiency	efficiency	nn1
"	"	"
can	can	vm
not	not	xx
an	an	at1
expensive	expensive	jj
bureau	bureau	nn1
like	like	ii
the	the	at
Fire	fire	nn1
Prevention	prevention	nn1
Bureau	bureau	nn1
find	find	vv0
out	out	rp
that	that	cst
the	the	at
orders	order	nn2
have	have	vh0
been	be	vbn
complied	comply	vvn
with	with	iw
nearly	nearly	rr
a	a	at1
Year	year	nnt1
without	without	iw
wasting	waste	vvg
the	the	at
efforts	effort	nn2
Of	of	io
their	their	appge
office	office	nn1
force	force	nn1
,	,	y
stationery	stationery	nn1
,	,	y
and	and	cc
postage	postage	nn1
?	?	y
Surely	surely	rr
this	this	dd1
consideration	consideration	nn1
is	be	vbz
due	due	jj_rr%_ii%
a	a	at1
property	property	nn1
holder	holder	nn1
before	before	ii_cs
the	the	at
matter	matter	nn1
Is	be	vbz
put	put	vvn
in	in	ii
the	the	at
hands	hand	nn2
of	of	io
the	the	at
11	11	mc
Corporation	corporation	nn1
Counsel	counsel	np1_nn1@
.	.	y
