@@681770	##	fo
txt	txt	nnu
Unlicensed	unlicensed	jj
.	.	y
There	there	ex
are	be	vbr
at	at	rr21
present	present	rr22
150	150	mc
eligible	eligible	jj
chauffeurs	chauffeur	nn2
on	on	ii
the	the	at
civil	civil	jj
service	service	nn1
list	list	nn1
awaiting	await	vvg
appointments	appointment	nn2
.	.	y
When	when	cs
an	an	at1
ordinary	ordinary	jj
citizen	citizen	nn1
seeks	seek	vvz
employment	employment	nn1
from	from	ii
the	the	at
City	city	nn1
of	of	io
New	new	np1
York	york	np1
as	as	ii_csa
a	a	at1
chauffeur	chauffeur	nn1
or	or	cc
automobile	automobile	nn1
engineman	engineman	nn1
he	he	pphs1
is	be	vbz
compelled	compel	vvn
to	to	to
pass	pass	vvi
State	state	nn1
automobile	automobile	nn1
and	and	cc
municipal	municipal	jj
civil	civil	jj
service	service	nn1
examinations	examination	nn2
,	,	y
including	including	ii_vvg@
a	a	at1
demonstration	demonstration	nn1
?	?	y
Having	have	vhg
passed	pass	vvn
these	these	dd2
examinations	examination	nn2
,	,	y
he	he	pphs1
must	must	vm
pay	pay	vvi
for	for	if
his	his	appge
operating	operate	nn1
privilege	privilege	nn1
,	,	y
that	that	dd1
.	.	y
is	be	vbz
to	to	to
say	say	vvi
,	,	y
he	he	pphs1
pays	pay	vvz
for	for	if
his	his	appge
license	license	nn1
.	.	y
There	there	ex
are	be	vbr
city	city	nn1
officials	official	nn2
in	in	ii
New	new	np1
York	york	np1
who	who	pnqs
personally	personally	rr
operate	operate	vv0
the	the	at
city	city	nn1
cars	car	nn2
.	.	y
thus	thus	rr
combining	combine	vvg
the	the	at
chauffeur	chauffeur	nn1
's	's	ge
task	task	nn1
with	with	iw
their	their	appge
own	own	da
official	official	jj_nn1
duty	duty	nn1
.	.	y
These	these	dd2
city	city	nn1
officials	official	nn2
are	be	vbr
exempt	exempt	jj
from	from	ii
examination	examination	nn1
.	.	y
Furthermore	furthermore	rr
,	,	y
they	they	pphs2
are	be	vbr
not	not	xx
compelled	compel	vvn
by	by	ii
the	the	at
law	law	nn1
to	to	to
buy	buy	vvi
a	a	at1
chauffeur	chauffeur	nn1
's	's	ge
license	license	nn1
.	.	y
The	the	at
city	city	nn1
official	official	nn1
who	who	pnqs
operates	operate	vvz
the	the	at
city	city	nn1
cars	car	nn2
and	and	cc
who	who	pnqs
is	be	vbz
not	not	xx
examined	examine	vvn
is	be	vbz
more	more	rgr
likely	likely	jj
to	to	to
injure	injure	vvi
persons	person	nn2
because	because	ii21
of	of	ii22
his	his	appge
inexperience	inexperience	nn1
.	.	y
Why	why	rrq
are	be	vbr
the	the	at
chauffeurs	chauffeur	nn2
thus	thus	rr
discriminated	discriminate	vvn
against	against	ii
?	?	y
