@@679756	##	fo
txt	txt	nnu
The	the	at
Way	way	nn1
of	of	io
Car	car	nn1
Pickpockets	pickpocket	nn2
.	.	y
The	the	at
letter	letter	nn1
which	which	ddq
you	you	ppy
publish	publish	vv0
on	on	ii_rp@
pickpockets	pickpocket	nn2
reminds	remind	vvz
me	me	ppio1
of	of	io
a	a	at1
recent	recent	jj
similar	similar	jj
experience	experience	nn1
.	.	y
1	1	mc1
When	when	cs
a	a	at1
passenger	passenger	nn1
Is	be	vbz
prevented	prevent	vvn
from	from	ii
entering	enter	vvg
the	the	at
car	car	nn1
door	door	nn1
by	by	ii
a	a	at1
man	man	nn1
who	who	pnqs
deliberately	deliberately	rr
elands	eland	nn2
in	in	ii
the	the	at
entrance	entrance	nn1
oblivious	oblivious	jj
of	of	io
requests	request	nn2
to	to	to
move	move	vvi
,	,	y
rest	rest	vv0
assured	assure	jj
that	that	cst
he	he	pphs1
la	la	fu
the	the	at
'	'	ge
Chief	chief	nn1
of	of	io
the	the	at
gang	gang	nn1
of	of	io
three	three	mc
 -- 	--	nn1_jj
the	the	at
other	other	jj_nn1@
two	two	mc
are	be	vbr
behind	behind	ii
the	the	at
passenger	passenger	nn1
,	,	y
one	one	mc1_pn1
doing	do	vdg
the	the	at
trick	trick	nn1
and	and	cc
the	the	at
other	other	jj_nn1@
waiting	wait	nn1@_vvg_jj@
to	to	to
have	have	vhi
the	the	at
swag	swag	nn1
passed	pass	vvn_vvd
to	to	ii
him	him	ppho1
.	.	y
When	when	cs
this	this	dd1
is	be	vbz
done	do	vdn
,	,	y
the	the	at
chief	chief	nn1
Is	be	vbz
signaled	signal	vvn
by	by	ii
a	a	at1
tap	tap	nn1
or	or	cc
cough	cough	nn1_vv0
and	and	cc
all	all	db_rr@
depart	depart	vv0
quickly	quickly	rr
.	.	y
The	the	at
passenger	passenger	nn1
who	who	pnqs
has	have	vhz
been	be	vbn
fuming	fume	vvg
and	and	cc
expostulating	expostulate	vvg_nn1@
Oust	oust	vv0
what	what	ddq
the	the	at
gang	gang	nn1
want	want	vv0
,	,	y
so	so	bcl21
as	as	bcl22
to	to	to
keep	keep	vvi
him	him	ppho1
busy	busy	jj_vv0@
trying	try	vvg_jj@
to	to	to
get	get	vvi
in	in	rp@
and	and	cc
not	not	xx
paying	pay	vvg_jj@
attention	attention	nn1
to	to	ii
a	a	at1
touch	touch	nn1
)	)	y
then	then	rt
enters	enter	vvz
to	to	to
find	find	vvi
he	he	pphs1
has	have	vhz
been	be	vbn
done	do	vdn
for	for	if
.	.	y
ANOTHER	another	dd1
VICTIM	victim	nn1
.	.	y
