@@697031	##	fo
txt	txt	nnu
The	the	at
specter	specter	nn1
of	of	io
American	american	jj
dominance	dominance	nn1
in	in	ii
two	two	mc
fields	field	nn2
of	of	io
I	i	mc1%_zz1%
industry	industry	nn1
poked	poke	vvd
up	up	rp
Its	its	appge
head	head	nn1
In	in	ii
the	the	at
house	house	nn1
of	of	io
commons	common	nn2
today	today	rt
.	.	y
Sir	sir	nnb
Alfred	alfred	np1
Knox	knox	np1
asked	ask	vvd
William	william	np1
Graham	graham	np1
,	,	y
president	president	nn1
of	of	io
the	the	at
board	board	nn1
of	of	io
trade	trade	nn1
,	,	y
if	if	cs
the	the	at
import	import	nn1
of	of	io
American	american	jj
talkies	talkie	nn2
could	could	vm
not	not	xx
be	be	vbi
limited	limit	vvn
In	in	ii
order	order	nn1
to	to	to
"	"	"
protect	protect	vvi
the	the	at
language	language	nn1
and	and	cc
Ideas	idea	nn2
:	:	y
of	of	io
the	the	at
people	people	nn
of	of	io
this	this	dd1
country	country	nn1
.	.	y
"	"	"
The	the	at
question	question	nn1
resulted	result	vvn_vvd
in	in	ii
a	a	at1
light	light	jj_nn1
Intel	intel	np1
:	:	y
-	-	-
change	change	nn1_vv0
of	of	io
quips	quip	nn2
about	about	ii
the	the	at
American	american	jj
language	language	nn1
and	and	cc
English	english	jj
undefiled	undefiled	jj
.	.	y
Later	later	rrr
Mr.	mr.-	nnb
Graham	graham	np1
was	be	vbdz
asked	ask	vvn@
If	if	cs_csw@
he	he	pphs1
was	be	vbdz
aware	aware	jj
that	that	cst
an	an	at1
American	american	jj
combine	combine	nn1@
,	,	y
"	"	"
Copper	copper	nn1_jj@
Exporters	exporter	nn2
,	,	y
Incorporated	incorporate	vvn_vvd@
"	"	"
was	be	vbdz
controlling	control	vvg
,	,	y
export	export	vv0_nn1
prices	price	nn2
and	and	cc
selling	sell	vvg_nn1
copper	copper	nn1
to	to	ii
British	british	jj
.	.	y
manufacturers	manufacturer	nn2
at	at	ii
a	a	at1
high	high	jj
price	price	nn1
which	which	ddq
effectively	effectively	rr
prevents	prevent	vvz
them	them	ppho2
from	from	ii
competing	compete	vvg_jj
with	with	iw
American	american	jj
manufacturers	manufacturer	nn2
.	.	y
Mr.	mr.-	nnb
Graham	graham	np1
said	say	vvd
the	the	at
American	american	jj
copper	copper	nn1_jj@
restriction	restriction	nn1
compared	compare	vvn
to	to	ii
the	the	at
British	british	jj
rubber	rubber	jj_nn1
monopoly	monopoly	nn1
,	,	y
about	about	ii
Which	which	ddq
the	the	at
United	united	np1
States	state	np1
had	have	vhd
complained	complain	vvn
,	,	y
and	and	cc
Indicated	indicate	vvn
that	that	cst
the	the	at
matter	matter	nn1
will	will	vm
be	be	vbi
pressed	press	vvn
later	later	rrr
.	.	y
