@@700549	##	fo
txt	txt	nnu
Jack	jack	np1
Klein	klein	np1
,	,	y
16	16	mc
years	year	nnt2
old	old	jj
,	,	y
346	346	mc
Lindell	lindell	np1
avenue	avenue	nn1
,	,	y
Wilmette	wilmette	np1_nn1
,	,	y
created	create	vvd_vvn
a	a	at1
domestic	domestic	jj
problem	problem	nn1
yesterday	yesterday	rt
when	when	cs_rrq
he	he	pphs1
rescued	rescue	vvd
four	four	mc
little	little	jj
squirrels	squirrel	nn2
from	from	ii
a	a	at1
nest	nest	nn1
after	after	cs
he	he	pphs1
found	find	vvd
their	their	appge
mother	mother	nn1
injured	injure	vvn_vvd_jj
and	and	cc
unable	unable	jk
to	to	to
get	get	vvi
to	to	ii
them	them	ppho2
.	.	y
Tho	though	nn1_np1@
problem	problem	nn1
was	be	vbdz
how	how	rrq
to	to	to
feed	feed	vvi
little	little	jj
squirrels	squirrel	nn2
.	.	y
It	it	pph1
was	be	vbdz
solved	solve	vvn
by	by	ii_rp%
.	.	y
Tabby	tabby	np1_nn1
.	.	y
the	the	at
Kleins	klein	np2
'	'	ge
cat	cat	nn1
,	,	y
who	who	pnqs
made	make	vvd
her	her	appge_ppho1
two	two	mc
kittens	kitten	nn2
move	move	vv0
over	over	rp
and	and	cc
let	let	vv0
the	the	at
little	little	jj
rodents	rodent	nn2
share	share	vvi
their	their	appge
lunch	lunch	nn1
.	.	y
According	according	ii21
to	to	ii22
Jack	jack	np1
,	,	y
the	the	at
old	old	jj
cat	cat	nn1
is	be	vbz
more	more	rgr
fond	fond	jj
of	of	io
the	the	at
squirrels	squirrel	nn2
than	than	csn
of	of	io
her	her	appge
own	own	da
off	off	jj%_ii
.	.	y
spring	spring	nn1_vv0@
.	.	y
The	the	at
injured	injure	jj
parent	parent	nn1
squirrel	squirrel	nn1
was	be	vbdz
taken	take	vvn
to	to	ii
a	a	at1
pet	pet	nn1_jj@
hospital	hospital	nn1
for	for	if
treat	treat	nn1
.	.	y
merit	merit	vv0_nn1
.	.	y
