@@699110	##	fo
txt	txt	nnu
Although	although	cs
the	the	at
flurry	flurry	nn1
of	of	io
buying	buy	nn1_vvg
anticipated	anticipate	vvn_jj_vvd
for	for	if
the	the	at
New	new	np1
York	york	np1
iron	iron	nn1
market	market	nn1_vv0
after	after	ii_cs
Labor	labor	nn1
Day	day	nnt1
has	have	vhz
so	so	rg
far	far	rr
developed	develop	vvn
only	only	rr
in	in	ii
mild	mild	jj
proportions	proportion	nn2
,	,	y
interest	interest	nn1
on	on	ii41
the	the	ii42
part	part	ii43
of	of	ii44
larger	large	jjr
users	user	nn2
in	in	ii
increasing	increase	vvg_jj
,	,	y
and	and	cc
inquiry	inquiry	nn1
,	,	y
while	while	cs
not	not	xx
very	very	rg
heavy	heavy	jj
.	.	y
Is	be	vbz
broader	broad	jjr
.	.	y
Since	since	cs
Labor	labor	nn1
Day	day	nnt1
about	about	rg
5,000	5,000	mc
tons	ton	nnu2
of	of	io
iron	iron	nn1
has	have	vhz
been	be	vbn
sold	sell	vvn
,	,	y
and	and	cc
present	present	jj_nn1
inquiry	inquiry	nn1
,	,	y
a	a	at1
good	good	jj
part	part	nn1
of	of	io
which	which	ddq
is	be	vbz
tentative	tentative	jj
,	,	y
amounts	amount	vvz
to	to	ii
between	between	ii
2,000	2,000	mc
and	and	cc
2,500	2,500	mc
tons	ton	nnu2
.	.	y
Barge	barge	vv0_nn1
canal	canal	nn1
rates	rate	nn2_vvz@
from	from	ii
Buffalo	buffalo	np1
down	down	nn1%
have	have	vh0
been	be	vbn
raised	raise	vvn
and	and	cc
this	this	dd1
is	be	vbz
expected	expect	vvn
in	in	ii
the	the	at
trade	trade	nn1
to	to	to
have	have	vhi
a	a	at1
finning	finning	jj@_nn1@	
effect	effect	nn1
on	on	ii
New	new	np1
England	england	np1
and	and	cc
New	new	np1
York	york	np1
iron	iron	nn1
prices	price	nn2
.	.	y
However	however	rr
,	,	y
Dutch	dutch	jj
iron	iron	nn1
continues	continue	vvz
to	to	to
offer	offer	vvi
competition	competition	nn1
,	,	y
5,800	5,800	mc
tons	ton	nnu2
having	have	vhg
recently	recently	rr
arrived	arrive	vvn
at	at	ii
Philadelphia	philadelphia	np1
.	.	y
Iron	iron	nn1_vv0@
users	user	nn2
are	be	vbr
buying	buy	vvg
further	far	rrr
ahead	ahead	rl
.	.	y
Inquiry	inquiry	nn1
is	be	vbz
on	on	ii
a	a	at1
somewhat	somewhat	rr
different	different	jj
basis	basis	nn1
than	than	csn
formerly	formerly	rr
,	,	y
often	often	rr
with	with	iw
bide	bide	vv0
of	of	io
only	only	rr
a	a	at1
tentative	tentative	jj
nature	nature	nn1
preceding	precede	vvg_jj
purchases	purchase	nn2
which	which	ddq
sometimes	sometimes	rt
have	have	vh0
come	come	vvn
unexpectedly	unexpectedly	rr
,	,	y
