@@221817	##	fo
Last	last	md
April	april	npm1
,	,	y
at	at	ii
the	the	at
age	age	nn1
of	of	io
77	77	mc
,	,	y
Dr.	dr.-i	nnb
William	william	np1
James	james	np1
Mayo	mayo	np1
,	,	y
elder	elder	nn1
of	of	io
the	the	at
Rochester	rochester	np1
(	(	y
Minn	minn	np1
.	.	y
)	)	y
Clinic	clinic	nn1
's	's	ge_vbz
famed	famed	jj
Mayo	mayo	np1
brothers	brother	nn2
,	,	y
went	go	vvd
under	under	ii
the	the	at
knife	knife	nn1
for	for	if
an	an	at1
ailment	ailment	nn1
he	he	pphs1
had	have	vhd
often	often	rr
treated	treat	vvn
:	:	y
perforating	perforating	vvg_jj@	
gastric	gastric	jj
ulcer	ulcer	nn1
.	.	y
For	for	if
a	a	at1
while	while	nnt1@_cs
"	"	"
Dr.	dr.-i	nnb
Will	will	np1
"	"	"
rallied	rally	vvd
,	,	y
but	but	ccb
all	all	db
the	the	at
magnificent	magnificent	jj
resources	resource	nn2
of	of	io
the	the	at
Mayo	mayo	np1
Clinic	clinic	nn1
failed	fail	vvd_vvn
to	to	to
save	save	vvi
his	his	appge
old	old	jj
,	,	y
wornout	wornout	jj
body	body	nn1
.	.	y
Last	last	md
week	week	nnt1
Dr.	dr.-i	nnb
Will	will	np1
died	die	vvd
.	.	y
He	he	pphs1
had	have	vhd
survived	survive	vvn
his	his	appge
brother	brother	nn1
,	,	y
Dr.	dr.-i	nnb
Charlie	charlie	np1
,	,	y
his	his	appge
lifelong	lifelong	jj
friend	friend	nn1
and	and	cc
partner	partner	nn1
,	,	y
by	by	ii
only	only	rr
two	two	mc
months	month	nnt2
.	.	y
Still	still	rr
practicing	practice	vvg
in	in	ii
Rochester	rochester	np1
is	be	vbz
the	the	at
last	last	md
of	of	io
the	the	at
Mayos	mayos	np2
,	,	y
Dr.	dr.-i	nnb
Charlie	charlie	np1
's	's	ge
son	son	nn1
,	,	y
41-year-old	41-year-old	jj
Dr.	dr.-i	nnb
Charles	charles	np1
William	william	np1
Mayo	mayo	np1
.	.	y
