@@703419	##	fo
txt	txt	nnu
Wanted	want	vvn_vvd
?	?	y
A	a	at1
gang	gang	nn1
of	of	io
men	man	nn2
who	who	pnqs
have	have	vh0
stolen	steal	vvn
several	several	da2
buildings	building	nn2
in	in	ii
Chicago	chicago	np1
recently	recently	rr
.	.	y
Any	any	dd
one	one	mc1
with	with	iw
information	information	nn1
might	might	vm
communicate	communicate	vvi
with	with	iw
Commissioner	commissioner	nn1
of	of	io
Public	public	jj_nn1
Works	work	nn_vvz
Oscar	oscar	np1
E.	e.	np1
Hewitt	hewitt	np1
.	.	y
He	he	pphs1
's	be	vbz
interested	interested	jj
.	.	y
Police	police	nn2
were	be	vbdr
ordered	order	vvn
yesterday	yesterday	rt
to	to	to
be	be	vbi
on	on	ii
the	the	at
lookout	lookout	nn1
for	for	if
men	man	nn2
wrecking	wreck	vvg
buildings	building	nn2
without	without	iw
proper	proper	jj
authority	authority	nn1
.	.	y
Commissioner	commissioner	nn1
Allman	allman	nn1_np1
issued	issue	vvd
the	the	at
order	order	nn1
after	after	ii_cs
Hewitt	hewitt	np1
complained	complain	vvd
that	that	cst
several	several	da2
condemned	condemn	jj
structures	structure	nn2
have	have	vh0
disappeared	disappear	vvn
in	in	ii
the	the	at
last	last	md
few	few	da2
weeks	week	nnt2
before	before	ii_cs
WPA	wpa	np1_nn1
workmen	workman	nn2
got	get	vvd_vvn
around	around	rp
to	to	ii
tearing	tear	vvg
them	them	ppho2
down	down	rp
for	for	if
the	the	at
city	city	nn1
.	.	y
Under	under	ii
an	an	at1
agreement	agreement	nn1
with	with	iw
property	property	nn1
owners	owner	nn2
,	,	y
the	the	at
city	city	nn1
has	have	vhz
been	be	vbn
wrecking	wreck	vvg
buildings	building	nn2
in	in	ii31
return	return	ii32
for	for	ii33
the	the	at
salvage	salvage	nn1
of	of	io
the	the	at
materials	material	nn2
.	.	y
Last	last	md
Friday	friday	npd1
the	the	at
WPA	wpa	np1_nn1
got	get	vvd_vvn
a	a	at1
permit	permit	nn1@_vv0
to	to	to
tear	tear	vvi
down	down	rp
a	a	at1
frame	frame	nn1
dwelling	dwell	nn1_vvg@
at	at	ii
1434	1434	mc
Hudson	hudson	np1
avenue	avenue	nn1
.	.	y
By	by	ii
Monday	monday	npd1
,	,	y
when	when	cs_rrq
the	the	at
wreckers	wrecker	nn2
reported	report	vvn_vvd
for	for	if
work	work	nn1
,	,	y
the	the	at
building	building	nn1
was	be	vbdz
gone	go	vvn
.	.	y
A	a	zz1_at1
three	three	mc
story	story	nn1
building	building	nn1_vvg@
at	at	ii
1237	1237	mc
Huron	huron	np1
street	street	nn1
faded	fade	vvd_vvn
away	away	rl
in	in	ii
similar	similar	jj
fashion	fashion	nn1
.	.	y
In	in	ii
all	all	db
there	there	ex_rl
have	have	vh0
been	be	vbn
about	about	rg
ten	ten	mc
.	.	y
