@@704171	##	fo
txt	txt	nnu
Probability	probability	nn1
of	of	io
sudden	sudden	jj
regulation	regulation	nn1
of	of	io
export	export	nn1
of	of	io
capital	capital	nn1
from	from	ii
Britain	britain	np1
with	with	iw
other	other	jj
financial	financial	jj
regulation	regulation	nn1
was	be	vbdz
indicated	indicate	vvn
by	by	ii
Sir	sir	nnb
Samuel	samuel	np1
Hoare	hoare	np1
.	.	y
If	if	cs
these	these	dd2
are	be	vbr
imposed	impose	vvn
.	.	y
there	there	ex
will	will	vm
be	be	vbi
no	no	at
warning	warning	nn1
given	give	vvn
,	,	y
he	he	pphs1
said	say	vvd
.	.	y
He	he	pphs1
disclosed	disclose	vvd
this	this	dd1
as	as	csa
he	he	pphs1
was	be	vbdz
thanking	thank	vvg
members	member	nn2
of	of	io
the	the	at
House	house	nn1
of	of	io
Commons	common	np
for	for	if
expediting	expedit	vvg
the	the	at
second	second	md
reading	reading	nn1
of	of	io
the	the	at
Emergency	emergency	nn1
Powers	power	np1_vvz@_nn2
Bill	bill	np1_nn1
.	.	y
A	a	at1_zz1
special	special	jj
session	session	nnt1
of	of	io
Parliament	parliament	nn1
was	be	vbdz
held	hold	vvn
yesterday	yesterday	rt
and	and	cc
voted	vote	vvn
the	the	at
government	government	nn1
broad	broad	jj
dictatorial	dictatorial	jj
powers	power	nn2
during	during	ii
the	the	at
period	period	nn1
of	of	io
emergency	emergency	nn1
.	.	y
"	"	"
It	it	pph1
must	must	vm
be	be	vbi
left	leave	vvn
to	to	ii
the	the	at
Chancellor	chancellor	nn1
of	of	io
the	the	at
Exchequer	exchequer	nn1
and	and	cc
to	to	ii
the	the	at
Treasury	treasury	nn1
to	to	to
select	select	vvi
their	their	appge
time	time	nnt1
,	,	y
"	"	"
Sir	sir	nnb
Samuel	samuel	np1
said	say	vvd
,	,	y
"	"	"
to	to	to
decide	decide	vvi
what	what	ddq
regulations	regulation	nn2
ought	ought	vmk
to	to	to
be	be	vbi
issued	issue	vvn
,	,	y
and	and	cc
the	the	at
particular	particular	jj
day	day	nnt1
and	and	cc
the	the	at
particular	particular	jj
hour	hour	nnt1
.	.	y
In	in	ii
any	any	dd
case	case	nn1
,	,	y
there	there	ex
will	will	vm
be	be	vbi
no	no	at
announcement	announcement	nn1
before	before	ii_cs
the	the	at
issue	issue	nn1
of	of	io
regulations	regulation	nn2
.	.	y
"	"	"
Sir	sir	nnb
Samuel	samuel	np1
emphasized	emphasize	vvd
that	that	cst
there	there	ex
will	will	vm
be	be	vbi
nothing	nothing	pn1
in	in	ii
the	the	at
nature	nature	nn1
of	of	io
industrial	industrial	jj
conscription	conscription	nn1
under	under	ii
the	the	at
bill	bill	nn1
.	.	y
