@@147128	##	fo
Most	most	dat
royalist	royalist	nn1
and	and	cc
loyalist	loyalist	jj_nn1@
of	of	io
British	british	jj
Dominions	dominion	nn2
statesmen	statesman	nn2
is	be	vbz
handsome	handsome	jj
,	,	y
dynamic	dynamic	jj
and	and	cc
air-minded	air-minded	jj_nn1	
Stanley	stanley	np1
Melbourne	melbourne	np1
Bruce	bruce	np1
,	,	y
onetime	onetime	jj
Premier	premier	nn1
of	of	io
Australia	australia	np1
and	and	cc
now	now	rt
the	the	at
High	high	jj
Commissioner	commissioner	nn1
in	in	ii
London	london	np1
of	of	io
the	the	at
Dominion	dominion	nn1
's	's	ge
Cabinet	cabinet	nn1
.	.	y
At	at	ii
Bristol	bristol	np1
last	last	md
week	week	nnt1
an	an	at1
English	english	jj_nn1
audience	audience	nn1
cheered	cheer	vvd
Mr.	mr.-	nnb
Bruce	bruce	np1
to	to	ii
the	the	at
echo	echo	nn1
when	when	cs_rrq
he	he	pphs1
declared	declare	vvd
that	that	cst
the	the	at
Dominions	dominion	nn2
ought	ought	vmk
to	to	to
pay	pay	vvi
more	more	dar_rrr
than	than	csn
they	they	pphs2
do	do	vd0
now	now	rt
of	of	io
the	the	at
terrific	terrific	jj
bills	bill	nn2
the	the	at
Mother	mother	nnb
Country	country	np1
is	be	vbz
running	run	vvg
up	up	rp
for	for	if
armaments	armament	nn2
.	.	y
"	"	"
You	you	ppy
can	can	vm
rely	rely	vvi
,	,	y
"	"	"
cried	cry	vvd
Orator	orator	nn1
Bruce	bruce	np1
,	,	y
"	"	"
that	that	cst
there	there	ex
will	will	vm
be	be	vbi
recognition	recognition	nn1
in	in	ii
Australia	australia	np1
that	that	cst
they	they	pphs2
have	have	vh0
got	get	vvn
to	to	to
make	make	vvi
their	their	appge
contribution	contribution	nn1
!	!	!
"	"	"
<P>	<p>	null	
Belligerent	belligerent	jj
Australian	australian	jj
editors	editor	nn2
boiled	boil	vvn
at	at	ii
the	the	at
news	news	nn1
that	that	cst
Australia	australia	np1
's	's	ge
High	high	jj
Commissioner	commissioner	nn1
has	have	vhz
become	become	vvn@
so	so	rg_rr
Anglicized	anglicized	jj
in	in	ii
England	england	np1
,	,	y
that	that	cst
he	he	pphs1
now	now	rt
refers	refer	vvz
to	to	ii
his	his	appge
fellow	fellow	jj_nn1
Australians	australian	nn2
as	as	csa
"	"	"
they	they	pphs2
.	.	y
"	"	"
