@@701367	##	fo
txt	txt	nnu
EXCERPTS	excerpt	nn2
FROM	from	ii
LETTERS	letter	nn2
ON	on	ii
SUBJECTS	subject	nn2
OF	of	io
CURRENT	current	jj
INTEREST	interest	nn1
Too	too	rg
Much	much	da1_rr
Expected	expect	jj_vvn_vvd
.	.	y
One	one	mc1
fact	fact	nn1
stands	stand	vvz
out	out	rp
like	like	ii
a	a	at1
cameo	cameo	nn1
in	in	ii
the	the	at
present	present	jj_nn1
confusion	confusion	nn1
and	and	cc
welter	welter	nn1
of	of	io
economic	economic	jj
catastrophe	catastrophe	nn1
and	and	cc
political	political	jj
experiment	experiment	nn1
,	,	y
namely	namely	rex
,	,	y
that	that	cst
the	the	at
people	people	nn
of	of	io
America	america	np1
expect	expect	vv0
too	too	rg
much	much	da1_rr
from	from	ii
their	their	appge
government	government	nn1
.	.	y
This	this	dd1
,	,	y
despite	despite	ii
unvarying	unvarying	jj
historical	historical	jj
proof	proof	nn1
that	that	cst
no	no	at
government	government	nn1
in	in	ii
the	the	at
world	world	nn1
's	's	ge
history	history	nn1
has	have	vhz
ever	ever	rr
of	of	io
itself	itself	ppx1
been	be	vbn
able	able	jk
to	to	to
bring	bring	vvi
prosperity	prosperity	nn1
and	and	cc
happiness	happiness	nn1
to	to	ii
the	the	at
governed	govern	jj%_vvn
.	.	y
At	at	ii
the	the	at
most	most	rrt@_dat
,	,	y
some	some	dd
governments	government	nn2
have	have	vh0
kept	keep	vvn
better	better	jjr_rrr
order	order	nn1
than	than	csn
others	other	nn2
,	,	y
with	with	iw
the	the	at
least	least	dat_rgt
interference	interference	nn1
with	with	iw
popular	popular	jj
rights	right	nn2
;	;	y
but	but	ccb
first	first	md
and	and	cc
last	last	md_vv0@
,	,	y
the	the	at
peace	peace	nn1
,	,	y
prosperity	prosperity	nn1
and	and	cc
general	general	jj_nn1
wellbeing	wellbeing	nn1
of	of	io
a	a	at1
nation	nation	nn1
have	have	vh0
depended	depend	vvn
solely	solely	rr
upon	upon	ii
the	the	at
people	people	nn
themselves	themselves	ppx2
.	.	y
If	if	cs
the	the	at
governed	govern	jj%_vvn
have	have	vh0
shown	show	vvn
a	a	at1
high	high	jj
average	average	nn1
of	of	io
courage	courage	nn1
,	,	y
justice	justice	nn1
and	and	cc
honesty	honesty	nn1
there	there	ex_rl
has	have	vhz
always	always	rr
been	be	vbn
prosperity	prosperity	nn1
and	and	cc
happiness	happiness	nn1
.	.	y
No	no	at_uh
statesmanship	statesmanship	nn1
,	,	y
professional	professional	jj
wisdom	wisdom	nn1
or	or	cc
political	political	jj
formulas	formula	nn2
have	have	vh0
ever	ever	rr
been	be	vbn
useful	useful	jj
substitutes	substitute	nn2
for	for	if
these	these	dd2
essential	essential	jj
qualities	quality	nn2
.	.	y
?	?	y
HYACINTHE	hyacinthe	np1_nn1	
RINGROSE	ringrose	np1_nn1	
,	,	y
New	new	np1
York	york	np1
.	.	y
