@@146837	##	fo
To	to	to
help	help	vvi
readers	reader	nn2
distinguish	distinguish	vvi
between	between	ii
war	war	nn1
news	news	nn1
and	and	cc
war	war	nn1
propaganda	propaganda	nn1
last	last	md
week	week	nnt1
Manchester	manchester	np1
Boddy	boddy	np1	
's	's	ge_vbz
enterprising	enterprising	jj
Los	los	np1
Angeles	angeles	np1
Daily	daily	np1
News	news	nn1
and	and	cc
Evening	evening	nnt1
News	news	nn1
adopted	adopt	vvd_vvn
a	a	at1
system	system	nn1
of	of	io
labeling	label	vvg_jj@
European	european	jj
dispatches	dispatch	nn2
.	.	y
The	the	at
Daily	daily	jj@_np1_nn1@
News	news	nn1
used	use	vvd_vvn_jj
alphabetical	alphabetical	jj
symbols	symbol	nn2
.	.	y
OP	op	nn1
stood	stand	vvd_vvn@
for	for	if
"	"	"
official	official	jj
propaganda	propaganda	nn1
,	,	y
"	"	"
SA	sa	np1
meant	mean	vvd
"	"	"
seems	seem	vvz
authentic	authentic	jj
,	,	y
"	"	"
"	"	"
V	xx_v	zz1
"	"	"
meant	mean	vvd_vvn
"	"	"
verified	verify	vvn_vvd_jj@	
.	.	y
"	"	"
Over	over	ii
foreign	foreign	jj
cables	cable	nn2
in	in	ii
the	the	at
Evening	evening	nnt1
News	news	nn1
were	be	vbdr
drawings	drawing	nn2
of	of	io
a	a	at1
key	key	nn1_jj
bearing	bear	vvg
the	the	at
same	same	da
words	word	nn2
written	write	vvn
out	out	rp
.	.	y
