@@145527	##	fo
Last	last	md
week	week	nnt1
dumpy	dumpy	jj
,	,	y
soft-looking	soft-looking	jj
little	little	jj_rr
Emperor	emperor	nnb
Hirohito	hirohito	np1
sampled	sample	vvd
the	the	at
warfare	warfare	nn1
on	on	ii
which	which	ddq
his	his	appge
soldiers	soldier	nn2
in	in	ii
China	china	np1
are	be	vbr
fed	feed	vvn
.	.	y
For	for	if
breakfast	breakfast	nn1
he	he	pphs1
and	and	cc
his	his	appge
wife	wife	nn1
squatted	squat	vvd_vvn@
before	before	ii
a	a	at1
low	low	jj
table	table	nn1
on	on	ii
which	which	ddq
rested	rest	vvd
a	a	at1
bowl	bowl	nn1
of	of	io
boiled	boiled	jj
rice	rice	nn1
and	and	cc
barley	barley	nn1
,	,	y
and	and	cc
side	side	nn1
dishes	dish	nn2
of	of	io
powdered	powdered	jj
bean	bean	nn1
paste	paste	nn1
and	and	cc
pickled	pickle	vvd_jj@
radishes	radish	nn2
.	.	y
At	at	ii
lunch	lunch	nn1
the	the	at
menu	menu	nn1
read	read	vvd_vvn
:	:	y
millet	millet	nn1
gruel	gruel	nn1_vv0
,	,	y
side	side	nn1
dishes	dish	nn2
of	of	io
bean	bean	nn1
noodles	noodle	nn2_vvz
,	,	y
pork	pork	nn1
,	,	y
boiled	boiled	jj
spinach	spinach	nn1
and	and	cc
salty	salty	jj
pickled	pickled	jj@
plums	plum	nn2
.	.	y
That	that	dd1
evening	evening	nnt1
the	the	at
Emperor	emperor	nn1
and	and	cc
Empress	empress	nn1
dined	dine	vvn_vvd
on	on	ii
boiled	boiled	jj
rice	rice	nn1
and	and	cc
barley	barley	nn1
again	again	rt
,	,	y
had	have	vhd
side	side	nn1
dishes	dish	nn2
of	of	io
dried	dried	jj
fish	fish	nn
,	,	y
carrots	carrot	nn2
and	and	cc
boiled	boiled	jj
lotus	lotus	nn1
roots	root	nn2
.	.	y
One	one	mc1
day	day	nnt1
of	of	io
warfare	warfare	nn1
was	be	vbdz
enough	enough	rr
for	for	if
the	the	at
Son	son	nn1
of	of	io
Heaven	heaven	nn1
.	.	y
To	to	ii
date	date	nn1
his	his	appge
army	army	nn1
and	and	cc
people	people	nn
have	have	vh0
had	have	vhn
a	a	at1
year	year	nnt1
and	and	cc
half	half	db_nn1@
of	of	io
warfare	warfare	nn1
and	and	cc
are	be	vbr
growing	grow	vvg
a	a	rr21_at1
little	little	rr22_jj
tired	tired	jj
of	of	io
it	it	pph1
.	.	y
