@@154070	##	fo
Startled	startle	vvn
by	by	ii
the	the	at
report	report	nn1
that	that	cst_dd1
Japanese	japanese	nn1_jj
were	be	vbdr
outside	outside	ii_rl
the	the	at
walls	wall	nn2
of	of	io
Changsha	changsha	np1
,	,	y
midway	midway	rl_nn1
between	between	ii
Hankow	hankow	np1_nn1
and	and	cc
Canton	canton	np1
,	,	y
zealous	zealous	jj
city	city	nn1
officials	official	nn2
last	last	md
week	week	nnt1
hurried	hurry	vvd_vvn
to	to	to
carry	carry	vvi
out	out	rp
their	their	appge
"	"	"
scorched	scorched	jj
earth	earth	nn1
"	"	"
policy	policy	nn1
(	(	y
to	to	to
destroy	destroy	vvi
everything	everything	pn1
of	of	io
value	value	nn1
to	to	ii
the	the	at
invaders	invader	nn2
)	)	y
.	.	y
They	they	pphs2
made	make	vvd
the	the	at
mistake	mistake	nn1
of	of	io
forgetting	forget	vvg
to	to	to
warn	warn	vvi
the	the	at
populace	populace	nn1
in	in	ii
time	time	nnt1
.	.	y
Fire	fire	nn1
roared	roar	vvd_vvn@
through	through	ii
the	the	at
city	city	nn1
so	so	rg_rr
fast	fast	rr_jj
that	that	dd1_cst
thousands	thousands	m
of	of	io
families	family	nn2
were	be	vbdr
trapped	trap	vvn
.	.	y
Firefighters	firefighter	nn2
struggled	struggle	vvn_vvd
for	for	if
five	five	mc
days	day	nnt2
before	before	ii_cs
the	the	at
flames	flame	nn2
were	be	vbdr
brought	bring	vvn
under	under	ii
control	control	nn1
.	.	y
Some	some	dd
2,000	2,000	mc
Chinese	chinese	jj_np1@_nn1@
were	be	vbdr
burned	burn	vvn
to	to	ii
death	death	nn1
,	,	y
more	more	rgr_rrr
injured	injure	jj_vvn_vvd
.	.	y
<P>	<p>	null	
A	a	at1
bigger	big	jjr
mistake	mistake	nn1
of	of	io
the	the	at
Changsha	changsha	np1_nn1@
officials	official	nn2
was	be	vbdz
their	their	appge
failure	failure	nn1
to	to	to
inform	inform	vvi
themselves	themselves	ppx2
that	that	cst
the	the	at
Japanese	japanese	nn1
were	be	vbdr
still	still	rr
58	58	mc
miles	mile	nnu2
away	away	ii21_rl
from	from	ii22_ii
the	the	at
city	city	nn1
.	.	y
Generalissimo	generalissimo	nnb
Chiang	chiang	np1
Kai-shek	kai-shek	nn1
meted	mete	vvn_vvd@
out	out	rp
punishment	punishment	nn1
for	for	if
both	both	db2
errors	error	nn2
.	.	y
He	he	pphs1
reputedly	reputedly	rr
ordered	order	vvd
Changsha	changsha	np1
's	's	ge
garrison	garrison	nn1
commander	commander	nn1
,	,	y
chief	chief	nn1
of	of	io
police	police	nn2
and	and	cc
commander	commander	nn1
of	of	io
the	the	at
provincial	provincial	jj
troops	troop	nn2
executed	execute	vvn_vvd
for	for	if
their	their	appge
"	"	"
premature	premature	jj
zeal	zeal	nn1
.	.	y
"	"	"
