@@164826	##	fo
In	in	ii
Abo	abo	nn1
(	(	y
the	the	at
capital	capital	nn1
of	of	io
Finland	finland	np1
is	be	vbz
Helsingfors	helsingfors	np1	
)	)	y
recently	recently	rr
the	the	at
Civic	civic	jj
Council	council	nn1
decreed	decree	vvd
the	the	at
total	total	jj_nn1
suppression	suppression	nn1
of	of	io
"	"	"
horn	horn	nn1
nuisance	nuisance	nn1
,	,	y
"	"	"
made	make	vvd_vvn
it	it	pph1
a	a	at1
misdemeanor	misdemeanor	nn1
for	for	if
motorists	motorist	nn2
to	to	to
give	give	vvi
audible	audible	jj
signs	sign	nn2
of	of	io
their	their	appge
approach	approach	nn1
.	.	y
<P>	<p>	null	
News	news	nn1
of	of	io
this	this	dd1
deed	deed	nn1
flashed	flash	vvd_vvn@
to	to	ii
the	the	at
capital	capital	nn1
of	of	io
Norway	norway	np1
,	,	y
"	"	"
Beautiful	beautiful	jj
Oslo	oslo	np1
.	.	y
"	"	"
fired	fire	jj@_vvn
members	member	nn2
of	of	io
the	the	at
Royal	royal	jj
Automobile	automobile	nn1
Club	club	nn1
with	with	iw
a	a	at1
great	great	jj
resolve	resolve	nn1@
.	.	y
In	in	ii
a	a	at1
manifesto	manifesto	nn1
soon	soon	rr
signed	sign	vvn
by	by	ii
aristocratic	aristocratic	jj
clubbers	clubbers	nn2
they	they	pphs2
proposed	propose	vvd
"	"	"
that	that	cst_dd1
in	in	ii
every	every	at1
city	city	nn1
of	of	io
the	the	at
Kingdom	kingdom	nn1
of	of	io
Norway	norway	np1
the	the	at
use	use	nn1
of	of	io
the	the	at
horn	horn	nn1
shall	shall	vm
be	be	vbi
done	do	vdn
away	away	rl
with	with	iw
,	,	y
so	so	cs21
that	that	cs22
the	the	at
attention	attention	nn1
it	it	pph1
involves	involve	vvz
on	on	ii41
the	the	ii42
part	part	ii43
of	of	ii44
the	the	at
automobilist	automobilist	nn1
may	may	vm
be	be	vbi
redirected	redirect	vvn@
to	to	ii
skilful	skilfull	jj
driving	drive	nn1@_jj
.	.	y
"	"	"
