@@221607	##	fo
John	john	np1
Hay	hay	np1
(	(	y
"	"	"
Jock	jock	np1
"	"	"
)	)	y
Whitney	whitney	np1
's	's	ge
three-year-old	three-year-old	jj
race	race	nn1
horse	horse	nn1
Flying	fly	nn1_vvg_jj
Scot	scot	nn1_np1
,	,	y
ridden	ride	vvn
by	by	ii
Jockey	jockey	nn1
John	john	np1
Gilbert	gilbert	np1
:	:	y
the	the	at
Withers	withers	np1
Stakes	stake	nn2_vvz@
,	,	y
feature	feature	nn1_vv0@
race	race	nn1
of	of	io
the	the	at
week	week	nnt1
at	at	ii
Long	long	jj
Island	island	nnl1
's	's	ge_vbz
Belmont	belmont	np1
Park	park	nn1
;	;	y
by	by	ii
two	two	mc
lengths	length	nn2
,	,	y
with	with	iw
Charing	charing	np1
Cross	cross	np1
second	second	nnt1_md
.	.	y
Morning	morning	nnt1
before	before	ii_cs
the	the	at
race	race	nn1
,	,	y
Flying	fly	jj_vvg
Cross	cross	nn1
,	,	y
owned	own	vvn
by	by	ii
Jock	jock	np1
Whitney	whitney	np1
's	's	ge
cousin	cousin	nn1
Cornelius	cornelius	np2
Vanderbilt	vanderbilt	vv0_np1_nn1
(	(	y
'	'	"@
'	'	ge
Sonny	sonny	np1_nn1@
"	"	"
)	)	y
Whitney	whitney	np1
,	,	y
and	and	cc
also	also	rr
entered	enter	vvn_vvd
in	in	ii
the	the	at
Withers	withers	np1
,	,	y
fell	fall	vvd
dead	dead	jj
of	of	io
heart	heart	nn1
failure	failure	nn1
while	while	cs
being	be	vbg
exercised	exercise	vvn
.	.	y
