@@146819	##	fo
One	one	mc1
day	day	nnt1
last	last	md
fortnight	fortnight	nnt1
,	,	y
5,000	5,000	mc
wounded	wound	jj_vvd
German	german	jj_nn1
soldiers	soldier	nn2
arrived	arrive	vvn_vvd
in	in	ii
Berlin	berlin	np1
from	from	ii
the	the	at
Polish	polish	jj
front	front	nn1
.	.	y
Only	only	rr
a	a	at1
handful	handful	nn1
of	of	io
doctors	doctor	nn2
and	and	cc
nurses	nurse	nn2
were	be	vbdr
at	at	ii
the	the	at
station	station	nn1
to	to	to
help	help	vvi
them	them	ppho2
,	,	y
and	and	cc
there	there	ex
were	be	vbdr
neither	neither	rr
stretchers	stretcher	nn2
nor	nor	cc
ambulances	ambulance	nn2
enough	enough	rr
to	to	to
go	go	vvi
around	around	rp
.	.	y
Aided	aid	vvn
by	by	ii
scores	score	nn2
of	of	io
"	"	"
Hitler	hitler	np1
girls	girl	nn2
,	,	y
"	"	"
the	the	at
bandaged	bandaged	jj
men	man	nn2
were	be	vbdr
bundled	bundle	vvn
into	into	ii
busses	busses	nn2
,	,	y
trucks	truck	nn2
and	and	cc
taxis	taxi	nn2
,	,	y
driven	drive	vvn
to	to	ii
hospitals	hospital	nn2
already	already	rr
overcrowded	overcrowded	jj
.	.	y
<P>	<p>	null	
Five	five	mc
days	day	nnt2
later	later	rrr
,	,	y
notices	notice	nn2
were	be	vbdr
posted	post	vvn
at	at	ii
the	the	at
German	german	jj_nn1
consulate	consulate	nn1
in	in	ii
Antwerp	antwerp	np1
,	,	y
begging	beg	vvg_nn1
doctors	doctor	nn2
"	"	"
of	of	io
German	german	jj_nn1
nationality	nationality	nn1
regardless	regardless	rr
of	of	io
race	race	nn1
"	"	"
to	to	to
come	come	vvi
home	home	rl
at	at	rr21
once	once	rr22
.	.	y
The	the	at
posters	poster	nn2
promised	promise	vvd_vvn
that	that	cst_dd1
,	,	y
because	because	ii21
of	of	ii22
a	a	at1
serious	serious	jj
shortage	shortage	nn1
of	of	io
physicians	physician	nn2
,	,	y
all	all	db_rr@
returning	return	vvg_jj@
refugees	refugee	nn2
would	would	vm
be	be	vbi
immediately	immediately	rr
repatriated	repatriate	vvn_jj	
and	and	cc
paid	pay	vvn
back	back	rp
their	their	appge
confiscated	confiscated	jj
fortunes	fortune	nn2
to	to	ii
the	the	at
last	last	md
pfennig	pfennig	nnu1
.	.	y
To	to	ii
date	date	nn1
,	,	y
no	no	at
answers	answer	nn2
have	have	vh0
been	be	vbn
received	receive	vvn
from	from	ii
the	the	at
3,000	3,000	mc
Jewish	jewish	jj
doctors	doctor	nn2
who	who	pnqs
escaped	escape	vvd
from	from	ii
the	the	at
Reich	reich	np1
.	.	y
