@@701630	##	fo
txt	txt	nnu
The	the	at
swastika	swastika	nn1
will	will	vm
no	no	rr%_at
longer	long	rrr
appear	appear	vvi
on	on	ii_rp@
British	british	jj
Boy	boy	nn1
Scout	scout	nn1
badges	badge	nn2
because	because	cs
it	it	pph1
is	be	vbz
the	the	at
symbol	symbol	nn1
of	of	io
Nazi	nazi	jj
Germany	germany	np1
.	.	y
This	this	dd1
decision	decision	nn1
was	be	vbdz
made	make	vvn
by	by	ii
the	the	at
Boy	boy	nn1
Scouts	scout	nn2
'	'	ge
association	association	nn1
council	council	nn1
,	,	y
who	who	pnqs
desire	desire	vv0@
to	to	to
keep	keep	vvi
aloof	aloof	jj
from	from	ii
political	political	jj
and	and	cc
religious	religious	jj
controversy	controversy	nn1
.	.	y
"	"	"
There	there	ex
are	be	vbr
no	no	at
politics	politics	nn1
in	in	ii
the	the	at
movement	movement	nn1
,	,	y
"	"	"
an	an	at1
official	official	nn1_jj
explained	explain	vvd_vvn
:	:	y
"	"	"
it	it	pph1
embraces	embrace	vvz
all	all	db
creeds	creed	nn2
,	,	y
so	so	cs@_rr
It	it	pph1
is	be	vbz
essential	essential	jj
that	that	cst
nothing	nothing	pn1
to	to	ii
which	which	ddq
objection	objection	nn1
might	might	vm
be	be	vbi
taken	take	vvn
should	should	vm
be	be	vbi
worn	wear	vvn
by	by	ii
the	the	at
Scouts	scout	nn2
or	or	cc
issued	issue	vvn
by	by	ii
the	the	at
association	association	nn1
.	.	y
"	"	"
The	the	at
swastika	swastika	nn1
was	be	vbdz
on	on	ii
the	the	at
"	"	"
thanks	thanks	nn2
badge	badge	nn1_vv0%
"	"	"
usually	usually	rr
presented	present	vvn_vvd
to	to	ii
people	people	nn
outside	outside	ii
the	the	at
movement	movement	nn1
in	in	ii
recognition	recognition	nn1
of	of	io
some	some	dd
service	service	nn1
to	to	ii
Scouts	scout	nn2
or	or	cc
Scouting	scout	np1_vvg
and	and	cc
also	also	rr
on	on	ii
the	the	at
medal	medal	nn1
of	of	io
merit	merit	nn1
,	,	y
a	a	at1
comparatively	comparatively	rr
rare	rare	jj
distinction	distinction	nn1
given	give	vvn_jj@
Scouts	scout	nn2
.	.	y
The	the	at
two	two	mc
badges	badge	nn2
bear	bear	vv0
the	the	at
Scouts	scout	nn2
'	'	ge
crest	crest	nn1
,	,	y
and	and	cc
prince	prince	nn1
of	of	io
Wales	wales	np1
feathers	feather	nn2
superimposed	superimpose	vvn_vvd
in	in	ii
a	a	at1
swastika	swastika	nn1
.	.	y
Badges	badge	nn2
already	already	rr
awarded	award	vvn
will	will	vm
not	not	xx
be	be	vbi
withdrawn	withdraw	vvn
,	,	y
but	but	ccb
the	the	at
holders	holder	nn2
may	may	vm
exchange	exchange	vvi
them	them	ppho2
for	for	if
redesigned	redesigned	jj@
badges	badge	nn2
.	.	y
