@@703039	##	fo
txt	txt	nnu
Among	among	ii
those	those	dd2
who	who	pnqs
did	do	vdd
not	not	xx
like	like	vvi
Chicago	chicago	np1
's	's	ge
weather	weather	nn1
yesterday	yesterday	rt
was	be	vbdz
Robert	robert	np1
William	william	np1
Gilmore	gilmore	np1
,	,	y
27	27	mc
years	year	nnt2
old	old	jj
,	,	y
an	an	at1
optician	optician	nn1
.	.	y
Walking	walk	vvg_nn1
onto	onto	ii
a	a	at1
dock	dock	nn1
near	near	ii
the	the	at
Wabash	wabash	nn1_np1
avenue	avenue	nn1
bridge	bridge	nn1
lie	lie	nn1@
yelled	yell	vvd_vvn@
to	to	ii
some	some	dd
river	river	nn1
gazers	gazer	nn2
at	at	ii
the	the	at
rail	rail	nn1
:	:	y
"	"	"
It	it	pph1
's	be	vbz
too	too	rr@_rg
Md	md	np1_nn1
.	.	y
"	"	"
Nobody	nobody	pn1
seemed	seem	vvd
Io	io	np1
believe	believe	vv0
him	him	ppho1
,	,	y
so	so	cs@_rr
Gilmore	gilmore	np1
took	take	vvd
off	off	rp_ii
his	his	appge
garments	garment	nn2
,	,	y
beginning	begin	vvg
with	with	iw
his	his	appge
overcoat	overcoat	nn1
,	,	y
and	and	cc
peeling	peel	vvg_nn1_jj@
clown	clown	nn1
to	to	ii
his	his	appge
underwear	underwear	nn1
.	.	y
Then	then	rt
,	,	y
with	with	iw
a	a	at1
loud	loud	rr
whoop	whoop	uh
,	,	y
he	he	pphs1
plunged	plunge	vvd
into	into	ii
the	the	at
river	river	nn1
.	.	y
Coast	coast	nn1
guardsmen	guardsmen	nn2
from	from	ii
the	the	at
cutter	cutter	nn1
Rush	rush	np1_nn1@
went	go	vvd
in	in	ii_rp@
a	a	at1
boat	boat	nn1
to	to	to
aid	aid	vvi
him	him	ppho1
.	.	y
He	he	pphs1
pulled	pull	vvd
two	two	mc
of	of	io
them	them	ppho2
into	into	ii
the	the	at
water	water	nn1
before	before	cs
he	he	pphs1
was	be	vbdz
subdued	subdued	jj_vvn@
,	,	y
and	and	cc
the	the	at
three	three	mc
were	be	vbdr
rescued	rescue	vvn
.	.	y
On	on	ii
the	the	at
cutter	cutter	nn1
he	he	pphs1
informed	inform	vvd
Chief	chief	jj
Boatswain	boatswain	nn1
's	's	ge
Mate	mate	nn1_np1@
Thomas	thomas	np1
Andreasen	andreasen	np1
that	that	cst
he	he	pphs1
was	be	vbdz
still	still	rr
warm	warm	jj
and	and	cc
expected	expect	vvd_vvn_jj
to	to	to
continue	continue	vvi
that	that	dd1
way	way	nn1
until	until	cs
more	more	dar
liquor	liquor	nn1
sweated	sweat	vvd
out	out	rp
.	.	y
Later	later	rrr
he	he	pphs1
told	tell	vvd
policemen	policeman	nn2
who	who	pnqs
took	take	vvd
charge	charge	nn1
of	of	io
him	him	ppho1
that	that	cst
he	he	pphs1
lived	live	vvd
at	at	ii
3330	3330	mc
Flournoy	flournoy	np1_nn1
street	street	nn1
.	.	y
