@@154155	##	fo
This	this	dd1
week	week	nnt1
the	the	at
London	london	np1
News	news	nn1
Chronicle	chronicle	nn1
published	publish	vvd_vvn
a	a	at1
survey	survey	nn1
by	by	ii
the	the	at
British	british	jj
Institute	institute	nn1
of	of	io
Public	public	nn1
Opinion	opinion	nn1
recording	record	vvg_nn1
that	that	cst_dd1
61%	61%	nnu
of	of	io
Britishers	britisher	nn2
want	want	vv0
the	the	at
Duke	duke	nn1
and	and	cc
Duchess	duchess	nn1
of	of	io
Windsor	windsor	np1
to	to	to
return	return	vvi
and	and	cc
make	make	vvi
their	their	appge
home	home	nn1
in	in	ii
Britain	britain	np1
.	.	y
This	this	dd1
revelation	revelation	nn1
was	be	vbdz
no	no	at_rr%
sooner	sooner	rrr
on	on	ii
the	the	at
streets	street	nn2
than	than	csn
London	london	np1
began	begin	vvd
to	to	to
hum	hum	vvi
with	with	iw
a	a	at1
report	report	nn1
vastly	vastly	rr
more	more	rgr
exciting	exciting	jj
:	:	y
that	that	cst
the	the	at
Duke	duke	nn1
will	will	vm
shortly	shortly	rr
return	return	vvi
alone	alone	jj_rr
to	to	to
visit	visit	vvi
the	the	at
Queen	queen	nn1
Mother	mother	nn1
.	.	y
"	"	"
Usually	usually	rr
unimpeachable	unimpeachable	jj
sources	source	nn2
"	"	"
gave	give	vvd
out	out	rp
that	that	dd1_cst
family	family	nn1
anxiety	anxiety	nn1
over	over	ii
Queen	queen	nnb
Mary	mary	np1
's	's	ge
heart	heart	nn1
was	be	vbdz
Windsor	windsor	np1
's	's	ge
inducement	inducement	nn1
for	for	if
thus	thus	rr
breaking	break	vvg
a	a	at1
reputed	reputed	jj@
vow	vow	nn1
never	never	rr
to	to	to
return	return	vvi
without	without	iw
his	his	appge
wife	wife	nn1
.	.	y
