@@703383	##	fo
txt	txt	nnu
tie	tie	nn1_vv0
naa	naa	nn1
an	an	at1
itt	itt	nn1
Inch	inch	nnu1
bayonet	bayonet	nn1
anti	anti-	jj
two	two	mc
swords	sword	nn2
under	under	ii
his	his	appge
arm	arm	nn1
when	when	cs_rrq
they	they	pphs2
arrested	arrest	vvd@
him	him	ppho1
yesterday	yesterday	rt
at	at	ii
Van	van	np1
Buren	buren	np1
and	and	cc
La	la	np1
Salle	salle	np1
streets	street	nn2
.	.	y
He	he	pphs1
said	say	vvd
he	he	pphs1
was	be	vbdz
John	john	np1
Smith	smith	np1
,	,	y
a	a	at1
carnival	carnival	jj_nn1
showman	showman	nn1
who	who	pnqs
lives	live	vvz
at	at	ii
517	517	mc
North	north	nd1
Clark	clark	np1
street	street	nn1
.	.	y
When	when	cs
the	the	at
police	police	nn2
took	take	vvd
him	him	ppho1
to	to	ii
the	the	at
Central	central	jj
station	station	nn1
he	he	pphs1
began	begin	vvd
to	to	to
boast	boast	vvi
of	of	io
his	his	appge
fire-eating	fire-eating	jj_nn1
capabilities	capability	nn2
,	,	y
and	and	cc
protested	protest	vvd_vvn
strenuously	strenuously	rr
when	when	cs_rrq
they	they	pphs2
took	take	vvd
away	away	rl
his	his	appge
matches	match	nn2
.	.	y
Then	then	rt
he	he	pphs1
showed	show	vvd
them	them	ppho2
the	the	at
picture	picture	nn1
gallery	gallery	nn1
he	he	pphs1
wears	wear	vvz
on	on	ii_rp@
his	his	appge
throat	throat	nn1
,	,	y
arms	arm	nn2
,	,	y
hands	hand	nn2
,	,	y
back	back	nn1_rp
,	,	y
and	and	cc
chest	chest	nn1
.	.	y
There	there	ex
was	be	vbdz
n't	n't	xx
much	much	rr
they	they	pphs2
could	could	vm
do	do	vdi
about	about	ii
those	those	dd2
 -- 	--	zz
they	they	pphs2
were	be	vbdr
tattooed	tattoo	vvn@
on	on	rp@_ii
.	.	y
Bitter	bitter	jj_nn1@
were	be	vbdr
his	his	appge_ppge@
cries	cry	nn2_vvz
when	when	cs_rrq
they	they	pphs2
took	take	vvd
away	away	rl
his	his	appge
bayonet	bayonet	nn1
and	and	cc
swords	sword	nn2
.	.	y
He	he	pphs1
said	say	vvd
he	he	pphs1
had	have	vhd
swallowed	swallow	vvn
them	them	ppho2
so	so	rg_rr
often	often	rr
they	they	pphs2
would	would	vm
be	be	vbi
lonesome	lonesome	jj
in	in	ii
a	a	at1
cold	cold	jj
station	station	nn1
safe	safe	nn1@_jj
.	.	y
Then	then	rt
they	they	pphs2
locked	lock	vvd
him	him	ppho1
up	up	rp
on	on	ii
a	a	at1
disorderly	disorderly	jj
conduct	conduct	nn1
charge	charge	nn1
for	for	if
hearing	hear	vvg_nn1
today	today	rt
.	.	y
