@@141040	##	fo
Said	say	np1
Seattle	seattle	np1
's	's	ge
Anesthetist	anesthetist	jj_nn1	
Louis	louis	np1
Herbert	herbert	np1
Maxson	maxson	np1
last	last	md
week	week	nnt1
upon	upon	ii
having	have	vhg
a	a	at1
piece	piece	nn1
of	of	io
dead	dead	jj
bone	bone	nn1
removed	remove	vvn_vvd
from	from	ii
his	his	appge
foot	foot	nn1
without	without	iw
the	the	at
use	use	nn1
of	of	io
anesthetic	anesthetic	jj_nn1@
:	:	y
"	"	"
I	i	ppis1
'll	will	vm
be	be	vbi
a	a	at1
fine	fine	jj
guinea	guinea	nn1
pig	pig	nn1
.	.	y
"	"	"
Dr.	dr.-i	nnb
Maxson	maxson	np1
had	have	vhd
just	just	rr
discovered	discover	vvn
that	that	cst
he	he	pphs1
suffered	suffer	vvd
from	from	ii
syringomyelia	syringomyelia	nn1	
,	,	y
incurable	incurable	jj
spinal	spinal	jj
abscess	abscess	nn1
which	which	ddq
renders	render	vvz
limbs	limb	nn2
insensate	insensate	vv0_nn1	
and	and	cc
may	may	vm
require	require	vvi
continuous	continuous	jj
amputations	amputation	nn2
.	.	y
Bleakly	bleakly	rr_np1@
continued	continue	vvd_vvn
Dr.	dr.-i	nnb
Maxson	maxson	np1
:	:	y
"	"	"
Well	well	rr
,	,	y
it	it	pph1
's	be	vbz
a	a	at1
slow	slow	jj
disease	disease	nn1
.	.	y
It	it	pph1
may	may	vm
take	take	vvi
10	10	mc
,	,	y
20	20	mc
,	,	y
40	40	mc
years	year	nnt2
to	to	to
kill	kill	vvi
me	me	ppio1
.	.	y
And	and	cc
I	i	ppis1
'm	be	vbm
52	52	mc
.	.	y
So	so	rr
I	i	ppis1
'm	be	vbm
not	not	xx
bothering	bother	vvg
my	my	appge
head	head	nn1
about	about	ii
it	it	pph1
much	much	rr
.	.	y
Anesthetists	anesthetist	nn2_np1@	
work	work	vv0
sitting	sit	vvg
down	down	rp
.	.	y
"	"	"
