@@144144	##	fo
In	in	ii
Miami	miami	np1
last	last	md
week	week	nnt1
,	,	y
a	a	at1
Federal	federal	jj
Theatre	theatre	nn1
labor	labor	nn1
play	play	nn1_vv0
,	,	y
Altars	altar	nn2
of	of	io
Steel	steel	np1_nn1
,	,	y
had	have	vhd
reached	reach	vvn
its	its	appge
15th	15th	md
and	and	cc
climactic	climactic	jj
scene	scene	nn1
.	.	y
The	the	at
boss	boss	nn1
was	be	vbdz
barricaded	barricade	vvn
inside	inside	ii
his	his	appge
factory	factory	nn1
.	.	y
A	a	at1
mob	mob	nn1
was	be	vbdz
milling	mill	vvg@
outside	outside	ii
the	the	at
gates	gates	nn2
.	.	y
A	a	at1_zz1
Liberal	liberal	jj_nn1@
swung	swing	vvn_vvd
at	at	ii
a	a	at1
Communist	communist	jj_nn1@
,	,	y
the	the	at
Communist	communist	nn1@_jj
shot	shoot	vvd_vvn
him	him	ppho1
,	,	y
company	company	nn1
guards	guard	nn2
shot	shoot	vvd_vvn
the	the	at
Communist	communist	jj_nn1@
.	.	y
Ensued	ensue	vvn_vvd
a	a	at1
terrific	terrific	jj
free-for-all	free-for-all	nn1
which	which	ddq
seemed	seem	vvd
like	like	ii
fine	fine	jj
convincing	convincing	jj
stuff	stuff	nn1
to	to	ii
the	the	at
audience	audience	nn1
.	.	y
And	and	cc
it	it	pph1
was	be	vbdz
.	.	y
Carried	carry	vvn_vvd
away	away	rl
by	by	ii
the	the	at
action	action	nn1
,	,	y
the	the	at
mob	mob	nn1
had	have	vhd
suddenly	suddenly	rr
taken	take	vvn
violent	violent	jj
sides	side	nn2
,	,	y
started	start	vvd
swinging	swing	vvg_jj
at	at	ii
each	each	ppx221
other	other	ppx222
in	in	ii
earnest	earnest	jj_nn1@
.	.	y
When	when	cs
the	the	at
curtain	curtain	nn1
came	come	vvd
down	down	rp
,	,	y
three	three	mc
limp	limp	jj
actors	actor	nn2
were	be	vbdr
stretched	stretch	vvn
out	out	rp
on	on	ii
the	the	at
stage	stage	nn1
.	.	y
