@@154660	##	fo
Since	since	cs
women	woman	nn2
are	be	vbr
barred	bar	vvn
from	from	ii
fighting	fight	vvg_nn1
bulls	bull	nn2
professionally	professionally	rr
in	in	ii
Spain	spain	np1
,	,	y
they	they	pphs2
can	can	vm
break	break	vvi
into	into	ii
this	this	dd1
lucrative	lucrative	jj
industry	industry	nn1
only	only	rr
by	by	ii
dire	dire	jj
expedients	expedient	nn2
.	.	y
In	in	ii
Madrid	madrid	np1
last	last	md
week	week	nnt1
beauteous	beauteous	jj
blonde	blonde	jj_nn1@
Maruja	maruja	np1
Fernandez	fernandez	np1
,	,	y
who	who	pnqs
was	be	vbdz
a	a	at1
beauteous	beauteous	jj
brunette	brunette	nn1
two	two	mc
years	year	nnt2
ago	ago	ra
when	when	cs_rrq
she	she	pphs1
broke	break	vvd
into	into	ii
the	the	at
bull	bull	nn1
ring	ring	nn1_vv0
for	for	if
charity	charity	nn1
performances	performance	nn2
,	,	y
declared	declare	vvd_vvn
:	:	y
"	"	"
I	i	ppis1
believe	believe	vv0
the	the	at
Spanish	spanish	jj
fighting	fight	nn1
bull	bull	nn1
is	be	vbz
nobler	noble	jjr
than	than	csn
man	man	nn1
.	.	y
Man	man	nn1
is	be	vbz
not	not	xx
like	like	ii
the	the	at
fighting	fight	nn1
bull	bull	nn1
which	which	ddq
will	will	vm
follow	follow	vvi
your	your	appge
cape	cape	nn1
if	if	cs
you	you	ppy
are	be	vbr
skillful	skillful	jj
.	.	y
Man	man	nn1
is	be	vbz
always	always	rr
seeking	seek	vvg
advantages	advantage	nn2
and	and	cc
trying	try	vvg
to	to	to
keep	keep	vvi
woman	woman	nn1
at	at	ii
a	a	at1
disadvantage	disadvantage	nn1
.	.	y
A	a	at1_zz1
fighting	fight	nn1_jj%
bull	bull	nn1
thrills	thrill	vvz@
me	me	ppio1
more	more	rrr
than	than	csn
any	any	dd
man	man	nn1
I	i	ppis1
have	have	vh0
ever	ever	rr
met	meet	vvn
.	.	y
"	"	"
<P>	<p>	null	
Commented	comment	vvd_vvn_jj@	
Spain	spain	np1
's	's	ge
matador	matador	nn1
from	from	ii
Brooklyn	brooklyn	np1
,	,	y
famed	famed	jj
Sidney	sidney	np1
Franklin	franklin	np1
:	:	y
"	"	"
Maruja	maruja	np1
Fernandez	fernandez	np1
never	never	rr
fights	fight	vvz
anything	anything	pn1
bigger	big	jjr
than	than	csn
a	a	at1
two-year-old	two-year-old	jj_nn1
calf	calf	nn1
,	,	y
and	and	cc
Heaven	heaven	nn1
help	help	vv0
her	her	ppho1
if	if	cs_csw@
she	she	pphs1
ever	ever	rr
does	do	vdz
!	!	!
"	"	"
