@@701190	##	fo
txt	txt	nnu
Lured	lure	vvn
by	by	ii
the	the	at
prospect	prospect	nn1
of	of	io
a	a	at1
plentiful	plentiful	jj
harvest	harvest	nn1
from	from	ii
the	the	at
numerous	numerous	jj
$2	$2	nnu
bettors	bettor	nn2
on	on	ii
the	the	at
Kentucky	kentucky	np1
Derby	derby	np1
,	,	y
many	many	da2
bookmakers	bookmaker	nn2
disregarded	disregard	vvd_vvn
yesterday	yesterday	rt
the	the	at
stringent	stringent	jj
Police	police	nn2
ban	ban	vv0
on	on	ii_rp@
gambling	gambling	nn1
.	.	y
By	by	ii
4:30	4:30	mc
p.	p.-a	nnu
m	m	zz1
..	...	...
however	however	rr
,	,	y
four	four	mc
establishments	establishment	nn2
had	have	vhd
been	be	vbn
raided	raid	vvn
in	in	ii
the	the	at
loop	loop	nn1
and	and	cc
several	several	da2
men	man	nn2
were	be	vbdr
under	under	ii
arrest	arrest	nn1
.	.	y
In	in	ii
a	a	at1
cigar	cigar	nn1
store	store	nn1
at	at	ii
50	50	mc
West	west	nd1
Lake	lake	nn1
street	street	nn1
.	.	y
Paul	paul	np1
Jones	jones	np1
,	,	y
35	35	mc
years	year	nnt2
old	old	jj
.	.	y
3042	3042	mc	
North	north	nd1
Ashland	ashland	np1
avenue	avenue	nn1
,	,	y
was	be	vbdz
taken	take	vvn
as	as	ii_csa
the	the	at
operator	operator	nn1
.	.	y
Two	two	mc
patrons	patron	nn2
also	also	rr
were	be	vbdr
arrested	arrest	vvn
.	.	y
Policeman	policeman	nn1
Joseph	joseph	np1
Sweeney	sweeney	np1
raided	raid	vvd
another	another	dd1
cigar	cigar	nn1
store	store	nn1
at	at	ii
336	336	mc
South	south	nd1
Wells	well	np1
street	street	nn1
.	.	y
arresting	arrest	vvg
Michael	michael	np1
Baron	baron	nn1
.	.	y
40	40	mc
years	year	nnt2
old	old	jj
,	,	y
1647	1647	mc
South	south	nd1
Spaulding	spaulding	np1_jj@_vvg	
avenue	avenue	nn1
,	,	y
in	in	ii
charge	charge	nn1
.	.	y
Other	other	jj
arrests	arrest	nn2
were	be	vbdr
in	in	ii
a	a	at1
tavern	tavern	nn1
at	at	ii
36	36	mc
North	north	nd1
Wells	well	np1
street	street	nn1
,	,	y
Fred	fred	np1
Roth	roth	np1
,	,	y
41	41	mc
years	year	nnt2
old	old	jj
,	,	y
1621	1621	mc
South	south	nd1
Ridgeway	ridgeway	nn1_np1
avenue	avenue	nn1
,	,	y
as	as	csa
keeper	keeper	nn1
,	,	y
and	and	cc
two	two	mc
patrons	patron	nn2
;	;	y
and	and	cc
in	in	ii
room	room	nn1
713	713	mc
in	in	ii
the	the	at
Ashland	ashland	np1_nn1@
block	block	nn1
,	,	y
155	155	mc
North	north	nd1
Clark	clark	np1
street	street	nn1
,	,	y
Harry	harry	np1
Conway	conway	np1
,	,	y
40	40	mc
years	year	nnt2
old	old	jj
