@@222994	##	fo
For	for	if
news	news	nn1
of	of	io
the	the	at
election	election	nn1
see	see	vv0
the	the	at
special	special	jj
8-page	8-page	jj_nn1
Election	election	nn1
Extra	extra	rr
which	which	ddq
TIME	time	nnt1
publishes	publish	vvz
this	this	dd1
week	week	nnt1
.	.	y
The	the	at
Extra	extra	jj
is	be	vbz
to	to	to
be	be	vbi
delivered	deliver	vvn
with	with	iw
the	the	at
issue	issue	nn1
everywhere	everywhere	rl
except	except	ii_cs
Florida	florida	np1
,	,	y
parts	part	nn2
of	of	io
Texas	texas	np1
and	and	cc
the	the	at
Mountain	mountain	nn1
and	and	cc
Pacific	pacific	np1
Coast	coast	nn1
States	state	np1_nn2@_vvz@
.	.	y
To	to	ii
subscribers	subscriber	nn2
there	there	rl
,	,	y
the	the	at
Extra	extra	jj
is	be	vbz
being	be	nn1%_vbg
rushed	rush	vvd
by	by	ii
plane	plane	nn1
in	in	ii
the	the	at
hope	hope	nn1
that	that	cst
it	it	pph1
will	will	vm
be	be	vbi
delivered	deliver	vvn
separately	separately	rr
in	in	ii
the	the	at
same	same	da
mail	mail	nn1
as	as	csa
the	the	at
regular	regular	jj
issue	issue	nn1
.	.	y
But	but	ccb
it	it	pph1
is	be	vbz
inevitable	inevitable	jj
in	in	ii
an	an	at1
operation	operation	nn1
conducted	conduct	vvn_vvd
at	at	ii
such	such	da
speed	speed	nn1
and	and	cc
under	under	ii_rg@
such	such	da
pressure	pressure	nn1
that	that	cst
deliveries	delivery	nn2
may	may	vm
be	be	vbi
late	late	jj
in	in	ii
some	some	dd
areas	area	nn2
.	.	y
