@@258573	##	fo
In	in	ii
Northwestern	northwestern	jj
France	france	np1
,	,	y
Sergeant	sergeant	nnb
Robert	robert	np1
Beeton	beeton	np1
of	of	io
Clinton	clinton	np1
,	,	y
N.C.	n.c.	np1
was	be	vbdz
tooling	tool	vvg
along	along	rp_ii
a	a	at1
road	road	nn1
in	in	ii
a	a	at1
jeep	jeep	nn1
with	with	iw
two	two	mc
buddies	buddy	nn2
.	.	y
Among	among	ii
them	them	ppho2
they	they	pphs2
had	have	vhd
a	a	at1
Tommy	tommy	np1
gun	gun	nn1
,	,	y
two	two	mc
pistols	pistol	nn2
.	.	y
<P>	<p>	null	
"	"	"
We	we	ppis2
turned	turn	vvd
a	a	at1
bend	bend	nn1
,	,	y
"	"	"
Beeton	beeton	np1
said	say	vvd
later	later	rrr_jjr
,	,	y
"	"	"
and	and	cc
there	there	rl
,	,	y
coming	come	vvg
down	down	ii
the	the	at
road	road	nn1
,	,	y
was	be	vbdz
what	what	ddq
looked	look	vvd
like	like	ii
an	an	at1
entire	entire	jj
company	company	nn1
of	of	io
well-armed	well-armed	jj
krauts	kraut	nn2
.	.	y
I	i	ppis1
stopped	stop	vvd
the	the	at
jeep	jeep	nn1
and	and	cc
trained	train	vvd@_vvn
the	the	at
Tommy	tommy	np1
gun	gun	nn1
on	on	ii
them	them	ppho2
.	.	y
<P>	<p>	null	
"	"	"
The	the	at
German	german	jj_nn1
officer	officer	nn1
shouts	shout	vvz_nn2
to	to	ii
his	his	appge
men	man	nn2
:	:	y
'	'	ge
Open	open	jj
fire	fire	nn1
!	!	!
'	'	"@_ge
They	they	pphs2
opened	open	vvd
fire	fire	nn1
,	,	y
all	all	db
right-on	right-on	nn1_jj@
him	him	ppho1
but	but	ccb
not	not	xx
on	on	ii
us	us	ppio2
.	.	y
Then	then	rt
they	they	pphs2
surrendered	surrender	vvd
.	.	y
.	.	y
.	.	y
.	.	y
"	"	"
