@@257970	##	fo
War	war	nn1
has	have	vhz
interfered	interfere	vvn
with	with	iw
the	the	at
Nieman	nieman	nn1_np1
Fellowships	fellowship	nn2
,	,	y
under	under	ii
which	which	ddq
selected	select	jj_vvd@
newsmen	newsman	nn2
get	get	vv0
a	a	at1
year	year	nnt1
at	at	ii
Harvard	harvard	np1
University	university	nn1
,	,	y
at	at	ii
full	full	jj
pay	pay	nn1
,	,	y
to	to	to
study	study	vvi
anything	anything	pn1
they	they	pphs2
wish	wish	vv0
except	except	ii
journalism	journalism	nn1
(	(	y
66	66	mc
have	have	vh0
won	win	vvn
Fellowships	fellowship	nn2
since	since	cs
they	they	pphs2
were	be	vbdr
inaugurated	inaugurate	vvn@
in	in	ii
1938	1938	mc
)	)	y
.	.	y
Of	of	io
the	the	at
past	past	jj_nn1
year	year	nnt1
's	's	ge
16	16	mc
Fellows	fellow	nn2
,	,	y
seven	seven	mc
had	have	vhd
dropped	drop	vvn
out	out	rp
before	before	ii_cs
the	the	at
school	school	nn1
year	year	nnt1
's	's	ge
end	end	nn1
- one	--one	mc
was	be	vbdz
drafted	draft	vvn
,	,	y
two	two	mc
joined	join	vvd_jj@
OWI	owi	np1_nn2_nn1	
,	,	y
four	four	mc
were	be	vbdr
recalled	recall	vvn
to	to	ii
their	their	appge
jobs	job	nn2
because	because	ii21
of	of	ii22
manpower	manpower	nn1
shortages	shortage	nn2
.	.	y
Last	last	md
week	week	nnt1
,	,	y
after	after	ii
pondering	ponder	vvg
whether	whether	csw
to	to	to
suspend	suspend	vvi
for	for	if
the	the	at
duration	duration	nn1
,	,	y
Harvard	harvard	np1
decided	decide	vvd
:	:	y
Nieman	nieman	np1_nn1
Fellowships	fellowship	nn2
will	will	vm
be	be	vbi
maintained	maintain	vvn
on	on	ii
a	a	at1
restricted	restricted	jj
basis	basis	nn1
.	.	y
Only	only	jj
newspapermen	newspaperman	nn2
who	who	pnqs
are	be	vbr
1	1	mc1
)	)	y
reasonably	reasonably	rr
draft-proof	draft-proof	jj
and	and	cc
who	who	pnqs
2	2	mc
)	)	y
want	want	vv0
to	to	to
bone	bone	nn1_vv0%
up	up	rp
on	on	ii
postwar	postwar	jj
problems	problem	nn2
(	(	y
economic	economic	jj
,	,	y
political	political	jj
and	and	cc
social	social	jj
)	)	y
will	will	vm
be	be	vbi
considered	consider	vvn
.	.	y
The	the	at
school	school	nn1
year	year	nnt1
this	this	dd1
year	year	nnt1
will	will	vm
begin	begin	vvi
in	in	ii
November	november	npm1
.	.	y
Successful	successful	jj
candidates	candidate	nn2
will	will	vm
be	be	vbi
announced	announce	vvn
in	in	ii
early	early	jj_rr
fall	fall	nn1
.	.	y
