@@175207	##	fo
In	in	ii
World	world	nn1
War	war	nn1
II	ii	mc
,	,	y
Monsignor	monsignor	nnb
Salvatore	salvatore	np1
Montes	monte	np2
de	de	np1
Oca	oca	np1	
,	,	y
onetime	onetime	jj
Bishop	bishop	nn1
of	of	io
Valencia	valencia	np1
,	,	y
Venezuela	venezuela	np1
,	,	y
gave	give	vvd
refuge	refuge	nn1
to	to	ii
Italian	italian	jj_nn1
Partisans	partisan	nn2
in	in	ii
a	a	at1
monastery	monastery	nn1
near	near	ii
Lucca	lucca	np1
,	,	y
where	where	cs_rrq
he	he	pphs1
was	be	vbdz
staying	stay	vvg
.	.	y
The	the	at
Germans	german	nn2
executed	execute	vvd_vvn
him	him	ppho1
and	and	cc
the	the	at
Partisans	partisan	nn2
he	he	pphs1
tried	try	vvd
to	to	to
save	save	vvi
.	.	y
Last	last	md
week	week	nnt1
the	the	at
body	body	nn1
of	of	io
the	the	at
martyr	martyr	nn1
was	be	vbdz
brought	bring	vvn
back	back	rp
to	to	ii
Venezuela	venezuela	np1
.	.	y
It	it	pph1
lay	lay	vvd
in	in	ii_rp@
state	state	nn1
in	in	ii
the	the	at
Cathedral	cathedral	nn1
of	of	io
Caracas	caracas	np1
,	,	y
while	while	cs
representatives	representative	nn2
of	of	io
the	the	at
Church	church	nn1
,	,	y
Government	government	nn1
and	and	cc
Army	army	nn1
paid	pay	vvd_vvn
tribute	tribute	nn1
,	,	y
before	before	cs_ii
burial	burial	nn1
in	in	ii
Valencia	valencia	np1
.	.	y
