@@149127	##	fo
Tom	tom	np1
Brown	brown	np1
's	's	ge
School	school	nn1
Days	day	nnt2
(	(	y
Sir	sir	nnb
Cedric	cedric	np1
Hardwicke	hardwicke	np1
,	,	y
Freddie	freddie	np1
Bartholomew	bartholomew	np1
,	,	y
Jimmy	jimmy	np1
Lydon	lydon	np1
;	;	y
TIME	time	nnt1
,	,	y
July	july	npm1
8	8	mc
)	)	y
.	.	y
<P>	<p>	null	
The	the	at
Mortal	mortal	jj_nn1
Storm	storm	nn1
(	(	y
Margaret	margaret	np1
Sullavan	sullavan	np1
,	,	y
James	james	np1
Stewart	stewart	np1
,	,	y
Frank	frank	np1
Morgan	morgan	np1
,	,	y
Robert	robert	np1
Young	young	np1
,	,	y
Irene	irene	np1
Rich	rich	np1@_jj
;	;	y
TIME	time	nnt1
,	,	y
July	july	npm1
i	i	mc1
)	)	y
.	.	y
<P>	<p>	null	
Our	our	appge
Town	town	nn1
(	(	y
William	william	np1
Holden	holden	np1
,	,	y
Martha	martha	np1
Scott	scott	np1
,	,	y
Thomas	thomas	np1
Mitchell	mitchell	np1
,	,	y
Fay	fay	np1
Bainter	bainter	np1	
,	,	y
Guy	guy	np1
Kibbee	kibbee	np1	
,	,	y
Frank	frank	np1
Craven	craven	np1_nn1
;	;	y
TIME	time	nnt1
,	,	y
June	june	npm1
3	3	mc
)	)	y
.	.	y
<P>	<p>	null	
Rebecca	rebecca	np1
(	(	y
Joan	joan	np1
Fontaine	fontaine	np1
,	,	y
Laurence	laurence	np1
Olivier	olivier	np1
,	,	y
Judith	judith	np1
Anderson	anderson	np1
,	,	y
George	george	np1
Sanders	sanders	np1
,	,	y
C.	c.-a	np1
Aubrey	aubrey	np1
Smith	smith	np1
;	;	y
TIME	time	nnt1
,	,	y
April	april	npm1
15	15	mc
)	)	y
.	.	y
