@@159043	##	fo
In	in	ii
Moscow	moscow	np1
last	last	md
week	week	nnt1
a	a	at1
special	special	jj
Soviet	soviet	jj
commission	commission	nn1
totted	tot	vvd
up	up	rp_ii@
church	church	nn1
buildings	building	nn2
"	"	"
destroyed	destroy	vvn_vvd
or	or	cc
damaged	damage	vvn
"	"	"
during	during	ii
the	the	at
Nazi	nazi	jj
occupation	occupation	nn1
of	of	io
Russia	russia	np1
:	:	y
<P>	<p>	null	
1,670	1,670	mc	
Orthodox	orthodox	jj
churches	church	nn2
;	;	y
<P>	<p>	null	
237	237	mc
Roman	roman	jj
Catholic	catholic	jj_nn1
churches	church	nn2
;	;	y
<P>	<p>	null	
532	532	mc
synagogues	synagogue	nn2
;	;	y
<P>	<p>	null	
258	258	mc
monasteries	monastery	nn2
and	and	cc
other	other	jj
church	church	nn1
buildings	building	nn2
;	;	y
<P>	<p>	null	
69	69	mc
chapels	chapel	nn2
.	.	y
<P>	<p>	null	
Number	number	nn1
of	of	io
anti-religious	anti-religious	jj
museums	museum	nn2
destroyed	destroy	vvd_vvn
:	:	y
not	not	xx
given	give	vvn
.	.	y
