@@225290	##	fo
At	at	ii
big	big	jj
Air	air	nn1
Forces	force	nn2
training	train	vvg@_nn1
stations	station	nn2
,	,	y
soldiers	soldier	nn2
like	like	vv0@
to	to	to
sing	sing	vvi
as	as	csa
they	they	pphs2
march	march	vv0
.	.	y
Last	last	md
week	week	nnt1
trainees	trainee	nn2
of	of	io
the	the	at
Air	air	nn1
Forces	force	nn2_vvz%
Technical	technical	jj
Training	training	nn1
Command	command	nn1_vv0
at	at	ii
Atlantic	atlantic	np1
City	city	nn1
were	be	vbdr
told	tell	vvn
that	that	cst
some	some	dd
of	of	io
their	their	appge
songs	song	nn2
would	would	vm
have	have	vhi
to	to	to
be	be	vbi
dropped	drop	vvn
.	.	y
<P>	<p>	null	
Offensive	offensive	jj_nn1@
to	to	ii
their	their	appge
infantry-trained	infantry-trained	jj_nn1
commanding	commanding	jj
officer	officer	nn1
,	,	y
Colonel	colonel	nnb
Eugene	eugene	np1
R.	r.-he	np1
Householder	householder	np1
,	,	y
were	be	vbdr
Roll	roll	nn1
Out	out	rp
The	the	at
Barrel	barrel	nn1
,	,	y
When	when	cs_rrq
The	the	at
War	war	nn1
Is	be	vbz
Over	over	rp
,	,	y
Around	around	ii_rp
Her	her	appge
Neck	neck	nn1
(	(	y
she	she	pphs1
wore	wear	vvd
a	a	at1
yellow	yellow	jj
ribbon	ribbon	nn1
)	)	y
,	,	y
Oh	oh	uh
,	,	y
My	my	appge
Feet	foot	nn2
Hurt	hurt	vv0_vvd_vvn	
,	,	y
I	i	ppis1
've	have	vh0
Been	be	vbn
Working	work	vvg
On	on	ii
the	the	at
Railroad	railroad	nn1
,	,	y
The	the	at
Moron	moron	nn1_np1
Song	song	nn1
,	,	y
How	how	rrq_rgq@
Dry	dry	jj_vv0@
I	i	mc1%_ppis1
Am	be	ra@_vbm
and	and	cc
Hinky-dinky	hinky-dinky	nn1_jj
,	,	y
Parlez-Vous	parlez-vous	fw	
.	.	y
<P>	<p>	null	
Reasons	reason	nn2
for	for	if
the	the	at
ban	ban	nn1
of	of	io
Stickler	stickler	np1_nn1	
Householder	householder	np1_nn1
,	,	y
a	a	at1
newcomer	newcomer	nn1
to	to	ii
the	the	at
breezy	breezy	jj
Air	air	nn1
Forces	force	nn2
:	:	y
they	they	pphs2
might	might	vm
be	be	vbi
interpreted	interpret	vvn
as	as	csa
slurs	slur	vvz_nn2
on	on	ii_rp@
women	woman	nn2
,	,	y
the	the	at
courage	courage	nn1
of	of	io
soldiers	soldier	nn2
or	or	cc
as	as	csa_ii@
drinking	drink	vvg_nn1
songs	song	nn2
.	.	y
About	about	ii
all	all	db
that	that	dd1
was	be	vbdz
left	leave	vvn
in	in	ii
the	the	at
marchers	marcher	nn2
'	'	ge
repertoire	repertoire	nn1
:	:	y
Wait	wait	nn1@
'	'	ge
til	til	nn1_vv0
the	the	at
Sun	sun	nn1
Shines	shine	vvz
,	,	y
Nellie	nellie	np1
.	.	y
