@@151604	##	fo
A	a	zz1
new	new	jj
low	low	jj_nn1@
in	in	ii
the	the	at
interest	interest	nn1
yield	yield	nn1_vv0
on	on	ii
long-term	long-term	jj
tax-exempt	tax-exempt	jj
bonds	bond	nn2
came	come	vvd
last	last	md
week	week	nnt1
:	:	y
a	a	at1
bloc	bloc	nn1
of	of	io
Connecticut	connecticut	np1
State	state	nn1
1	1	mc1
,	,	y
due	due	jj
in	in	ii
1967	1967	mc
,	,	y
changed	change	vvd_jj@_vvn
hands	hand	nn2
at	at	ii
a	a	at1
price	price	nn1
that	that	cst_dd1
will	will	vm
net	net	vvi
the	the	at
buyer	buyer	nn1
1%	1%	nnu
.	.	y
At	at	ii
such	such	da
a	a	at1
rate	rate	nn1
,	,	y
it	it	pph1
is	be	vbz
more	more	rgr
profitable	profitable	jj
for	for	if
people	people	nn
in	in	ii
low	low	jj
tax	tax	nn1
brackets	bracket	nn2_vvz@
to	to	to
buy	buy	vvi
taxable	taxable	jj
bonds	bond	nn2
and	and	cc
pay	pay	vvi
income	income	nn1
taxes	tax	nn2
on	on	ii
their	their	appge
yields	yield	nn2
.	.	y
But	but	ccb
by	by	ii
people	people	nn
with	with	iw
really	really	rr
big	big	jj
fortunes	fortune	nn2
and	and	cc
tremendous	tremendous	jj
taxes	tax	nn2
,	,	y
long-term	long-term	jj
tax-exempts	tax-exempts	vvz
are	be	vbr
still	still	rr
eagerly	eagerly	rr
sought	seek	vvn_vvd
after	after	ii
,	,	y
tightly	tightly	rr
held	hold	vvn_vvd
.	.	y
