@@150619	##	fo
In	in	ii
a	a	at1
gaunt	gaunt	jj
,	,	y
grimy	grimy	jj
London	london	np1
suburb	suburb	nn1
last	last	md
week	week	nnt1
George	george	np1
Johnson	johnson	np1
Armstrong	armstrong	np1
died	die	vvd
by	by	ii
hanging	hang	nn1_vvg_jj
,	,	y
the	the	at
first	first	md
Briton	briton	nn1
executed	execute	vvn_vvd
as	as	ii
a	a	at1
traitor	traitor	nn1
in	in	ii
World	world	nn1
War	war	nn1
II	ii	mc
.	.	y
A	a	at1_zz1
39-year-old	39-year-old	jj
ship	ship	nn1
's	's	ge
engineer	engineer	nn1
,	,	y
he	he	pphs1
was	be	vbdz
charged	charge	vvn
with	with	iw
offering	offer	vvg
his	his	appge
services	service	nn2
as	as	ii_csa
a	a	at1
spy	spy	nn1
to	to	ii
the	the	at
German	german	jj_nn1
Consul	consul	nn1
in	in	ii
Boston	boston	np1
.	.	y
With	with	iw
him	him	ppho1
were	be	vbdr
hung	hang	vvn
three	three	mc
alien	alien	jj
spies	spy	nn2
.	.	y
Another	another	dd1
Briton	briton	nn1
,	,	y
a	a	at1
woman	woman	nn1
,	,	y
sentenced	sentence	vvn_vvd@
to	to	to
hang	hang	vvi
at	at	ii
the	the	at
same	same	da
time	time	nnt1
,	,	y
had	have	vhd
her	her	appge
sentence	sentence	nn1
commuted	commute	vvn
to	to	ii
14	14	mc
years	year	nnt2
imprisonment	imprisonment	nn1
.	.	y
