@@708949	##	fo
txt	txt	nnu
Tyle	tyle	np1_nn1@	
?	?	y
Kent	kent	np1
,	,	y
former	former	da
code	code	nn1
clerk	clerk	nn1
at	at	ii
the	the	at
United	united	np1
States	state	np1
embassy	embassy	nn1
in	in	ii
London	london	np1
,	,	y
who	who	pnqs
was	be	vbdz
tried	try	vvn@
in	in	ii
secret	secret	nn1_jj
under	under	ii_rg@
mysterious	mysterious	jj
circumstances	circumstance	nn2
by	by	ii
British	british	jj
courts	court	nn2
In	in	ii
IMO	imo	np1_nn1	
and	and	cc
sentenced	sentence	vvn
to	to	ii
seven	seven	mc
years	year	nnt2
for	for	if
violation	violation	nn1
of	of	io
the	the	at
official	official	jj_nn1
secrets	secret	nn2
act	act	vv0
,	,	y
will	will	vm
be	be	vbi
released	release	vvn
next	next	md
week	week	nnt1
,	,	y
It	it	pph1
was	be	vbdz
learned	learn	vvn
tonight	tonight	rt
.	.	y
Kent	kent	np1
,	,	y
an	an	at1
American	american	jj
citizen	citizen	nn1
,	,	y
was	be	vbdz
alleged	allege	vvn
to	to	to
have	have	vhi
decoded	decode	vvn@_jj@
messages	message	nn2
from	from	ii
the	the	at
United	united	np1
States	state	np1
and	and	cc
turned	turn	vvd
the	the	at
texts	text	nn2
over	over	rp
to	to	ii
Italians	italian	nn2
prior	prior	ii21
to	to	ii22
American	american	jj
entry	entry	nn1
into	into	ii
the	the	at
war	war	nn1
.	.	y
American	american	jj
congressmen	congressmen	nn2
have	have	vh0
hinted	hint	vvn
he	he	pphs1
had	have	vhd
evidence	evidence	nn1
that	that	cst
the	the	at
late	late	jj
President	president	nnb
Roosevelt	roosevelt	np1
made	make	vvd
a	a	at1
pledge	pledge	nn1
to	to	ii
former	former	da
Prime	prime	jj
Minister	minister	nn1
Churchill	churchill	np1
that	that	cst
the	the	at
United	united	np1
States	state	np1
would	would	vm
go	go	vvi
to	to	ii
war	war	nn1
It	it	pph1
is	be	vbz
reported	report	vvn
the	the	at
department	department	nn1
of	of	io
justice	justice	nn1
is	be	vbz
still	still	rr
investigating	investigate	vvg
the	the	at
Kent	kent	np1
case	case	nn1
and	and	cc
he	he	pphs1
will	will	vm
immediately	immediately	rr
be	be	vbi
deported	deport	vvn
to	to	ii
the	the	at
United	united	np1
States	state	np1
following	follow	vvg_ii@
his	his	appge
release	release	nn1
.	.	y
The	the	at
question	question	nn1
whether	whether	csw
he	he	pphs1
will	will	vm
he	he	pphs1
tried	try	vvd
again	again	rt
in	in	ii
the	the	at
United	united	np1
States	state	np1
is	be	vbz
not	not	xx
yet	yet	rr
decided	decide	vvn_vvd
.	.	y
