@@223295	##	fo
A	a	zz1
new	new	jj
,	,	y
double-action	double-action	jj_nn1
vaccine	vaccine	nn1
that	that	cst_dd1
protects	protect	vvz
children	child	nn2
against	against	ii
diphtheria	diphtheria	nn1
and	and	cc
whooping	whoop	nn1
cough	cough	nn1
at	at	ii
the	the	at
same	same	da
time	time	nnt1
was	be	vbdz
described	describe	vvn
at	at	ii
the	the	at
Atlantic	atlantic	np1
City	city	nn1
meeting	meeting	nn1
of	of	io
the	the	at
American	american	jj
Public	public	jj_nn1
Health	health	nn1
Association	association	nn1
last	last	md
week	week	nnt1
.	.	y
The	the	at
vaccine	vaccine	nn1
,	,	y
a	a	at1
combination	combination	nn1
of	of	io
standard	standard	jj_nn1
diphtheria	diphtheria	nn1
toxoid	toxoid	nn1	
and	and	cc
a	a	at1
new	new	jj
preparation	preparation	nn1
containing	contain	vvg
the	the	at
germs	germ	nn2
of	of	io
whooping	whoop	nn1
cough	cough	nn1
,	,	y
was	be	vbdz
developed	develop	vvn
by	by	ii
Dr.	dr.-i	nnb
Pearl	pearl	np1
Luella	luella	np1
Kendrick	kendrick	np1_nn1@
of	of	io
the	the	at
Michigan	michigan	np1
State	state	nn1
Department	department	nn1
of	of	io
Health	health	nn1
.	.	y
<P>	<p>	null	
So	so	rg
far	far	rr
,	,	y
Dr.	dr.-i	nnb
Kendrick	kendrick	np1
and	and	cc
a	a	at1
group	group	nn1
of	of	io
Illinois	illinois	np1
health	health	nn1
officials	official	nn2
have	have	vh0
tried	try	vvn
the	the	at
vac	vac	nn1
cine	cine	nn1
on	on	ii
several	several	da2
groups	group	nn2
of	of	io
children	child	nn2
,	,	y
whose	whose	ddqge
ages	age	nn2
ranged	range	vvn_vvd
from	from	ii
six	six	mc
months	month	nnt2
to	to	ii
five	five	mc
years	year	nnt2
.	.	y
None	none	pn
of	of	io
them	them	ppho2
had	have	vhd
vaccine	vaccine	nn1
sickness	sickness	nn1
from	from	ii
combined	combine	jj
doses	dose	nn2
.	.	y
The	the	at
diphtheria	diphtheria	nn1
toxoid	toxoid	nn1	
,	,	y
of	of	rr21
course	course	rr22
,	,	y
protected	protect	vvn_vvd@
the	the	at
children	child	nn2
completely	completely	rr
;	;	y
the	the	at
newer	new	jjr
pertussis	pertussis	nn1
vaccine	vaccine	nn1
reduced	reduce	vvd_vvn
the	the	at
usual	usual	jj
number	number	nn1
of	of	io
cases	case	nn2
of	of	io
whooping	whoop	nn1
cough	cough	nn1
,	,	y
moderated	moderate	vvd
the	the	at
disease	disease	nn1
in	in	ii
children	child	nn2
who	who	pnqs
were	be	vbdr
attacked	attack	vvn
.	.	y
