@@709360	##	fo
txt	txt	nnu
A	a	at1@_zz1
group	group	nn1
of	of	io
children	child	nn2
who	who	pnqs
had	have	vhd
been	be	vbn
playing	play	vvg
with	with	iw
a	a	at1
one	one	mc1
pound	pound	nn1
fragmentation	fragmentation	nn1
shell	shell	nn1_vv0
on	on	ii
a	a	at1
Brooklyn	brooklyn	np1
sidewalk	sidewalk	nn1
touched	touch	vvd_vvn
it	it	pph1
off	off	rp
with	with	iw
a	a	at1
match	match	nn1
today	today	rt
.	.	y
The	the	at
blast	blast	nn1
left	leave	vvd_vvn
seven	seven	mc
children	child	nn2
and	and	cc
one	one	mc1
adult	adult	nn1
screaming	scream	vvg_nn1@
with	with	iw
flesh	flesh	nn1
wounds	wound	nn2_vvz@
from	from	ii
flying	fly	jj_vvg_nn1
steel	steel	nn1
.	.	y
No	no	pn121
one	one	pn122
was	be	vbdz
killed	kill	vvn
.	.	y
Police	police	nn2_vv0%
questioning	question	nn1_vvg
of	of	io
the	the	at
children	child	nn2
brought	bring	vvd_vvn
out	out	rp
that	that	cst
the	the	at
shell	shell	nn1
was	be	vbdz
found	find	vvn
by	by	ii
Arthur	arthur	np1
Bissett	bissett	np1
,	,	y
15	15	mc
.	.	y
He	he	pphs1
and	and	cc
other	other	jj
children	child	nn2
played	play	vvn_vvd
with	with	iw
the	the	at
shell	shell	nn1
all	all	db
morning	morning	nnt1
and	and	cc
finally	finally	rr
got	get	vvd_vvn
the	the	at
idea	idea	nn1
of	of	io
attempting	attempt	vvg
to	to	to
remove	remove	vvi
Its	its	appge
powder	powder	nn1
.	.	y
They	they	pphs2
pulled	pull	vvd
a	a	at1
plug	plug	nn1
and	and	cc
poured	pour	jj@_vvd_vvn
powder	powder	nn1
on	on	ii
the	the	at
sidewalk	sidewalk	nn1
.	.	y
Ignition	ignition	nn1
of	of	io
this	this	dd1
powder	powder	nn1
by	by	ii
a	a	at1
match	match	nn1
caused	cause	vvd_vvn
a	a	at1
flash	flash	nn1_jj
which	which	ddq
detonated	detonate	vvd
the	the	at
shell	shell	nn1
,	,	y
it	it	pph1
was	be	vbdz
said	say	vvn@
.	.	y
All	all	db
were	be	vbdr
treated	treat	vvn
at	at	ii
Norwegian	norwegian	jj_nn1
hospital	hospital	nn1
.	.	y
Harry	harry	np1
Carter	carter	np1
,	,	y
35	35	mc
,	,	y
the	the	at
adult	adult	nn1
who	who	pnqs
was	be	vbdz
injured	injure	vvn_jj
,	,	y
said	say	vvd
he	he	pphs1
had	have	vhd
had	have	vhn
the	the	at
bad	bad	jj
luck	luck	nn1
to	to	to
be	be	vbi
passing	pass	vvg
by	by	rp%_ii
at	at	ii
the	the	at
time	time	nnt1
of	of	io
the	the	at
blast	blast	nn1
.	.	y
