@@707162	##	fo
txt	txt	nnu
Balk	balk	nn1_vv0_np1	
Rule	rule	nn1
Proposal	proposal	nn1
Opposed	oppose	vvn_vvd
In	in	ii_rp@
his	his	appge
letter	letter	nn1
in	in	ii
THE	the	at
TIMES	time	nnt2
last	last	md
Saturday	saturday	npd1
Joseph	joseph	np1
Cunneen	cunneen	np1
advocated	advocate	vvd
that	that	cst
a	a	at1
baseball	baseball	nn1
pitcher	pitcher	nn1
should	should	vm
not	not	xx
be	be	vbi
penalized	penalize	vvn@
for	for	if
an	an	at1
accidental	accidental	jj
balk	balk	nn1
.	.	y
I	i	ppis1
read	read	vv0_vvd
it	it	pph1
with	with	iw
interest	interest	nn1
,	,	y
but	but	ccb
can	can	vm
not	not	xx
agree	agree	vvi
with	with	iw
his	his	appge
opinion	opinion	nn1
.	.	y
Who	who	pnqs
is	be	vbz
going	go	vvgk
to	to	to
determine	determine	vvi
whether	whether	csw31
or	or	csw32
not	not	csw33
the	the	at
balk	balk	nn1
was	be	vbdz
intentional	intentional	jj
?	?	y
The	the	at
umpire	umpire	nn1
,	,	y
of	of	rr21
course	course	rr22
.	.	y
And	and	cc
once	once	rr_cs@
the	the	at
present	present	jj_nn1
harsh	harsh	jj
but	but	ccb
fair	fair	jj
rule	rule	nn1
is	be	vbz
I	i	ppis1
discarded	discard	vvn
the	the	at
task	task	nn1
of	of	io
the	the	at
arbiters	arbiter	nn2
will	will	vm
become	become	vvi
much	much	da1_rr
more	more	dar_rgr
difficult	difficult	jj
in	in	ii
such	such	da
instances	instance	nn2
.	.	y
More	more	dar
games	game	nn2
likely	likely	rr@_jj
will	will	vm
be	be	vbi
protested	protest	vvn
if	if	cs_csw@
the	the	at
umpires	umpire	nn2
have	have	vh0
discretion	discretion	nn1
in	in	ii
penalizing	penalize	vvg_jj@
pitchers	pitcher	nn2
for	for	if
committing	commit	vvg
balks	balk	nn2
.	.	y
In	in	ii
other	other	jj
words	word	nn2
Liberalization	liberalization	nn1	
of	of	io
the	the	at
balk	balk	nn1
rule	rule	nn1
is	be	vbz
not	not	xx
necessary	necessary	jj
and	and	cc
should	should	vm
not	not	xx
be	be	vbi
considered	consider	vvn
just	just	rr
for	for	if
the	the	at
sake	sake	nn1
of	of	io
helping	help	vvg
the	the	at
pitchers	pitcher	nn2
.	.	y
WILBUR	wilbur	np1
WAITE	waite	np1
.	.	y
Brooklyn	brooklyn	np1
,	,	y
June	june	npm1
1	1	mc1
,	,	y
1943	1943	mc
.	.	y
Editorial	editorial	jj_nn1
Note	note	nn1
:	:	y
Apparently	apparently	rr
this	this	dd1
fellow	fellow	nn1
is	be	vbz
not	not	xx
a	a	at1
pitcher	pitcher	nn1
.	.	y
